Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_200_19900_10_100_1,28655.1199415,0.1173718,25393.79960597501,2829.415345523,0.12842978940251307,0
AUpdata_corrSergio_200_19900_10_100_2,30397.2633543,0.1150018,26891.378759235013,2154.665988218,0.13037206557737396,0
AUpdata_corrSergio_200_19900_10_100_3,32311.97503098,0.1137933,28194.33963988501,2315.104082554,0.14604475379412662,0
AUpdata_corrSergio_200_19900_2_100_1,46811.575921645,0.0293256,40375.96342249,470.563687508,0.15939217181800477,0
AUpdata_corrSergio_200_19900_2_100_2,47184.22249088,0.0329988,45119.060538355,771.857343177,0.04577138636939121,0
AUpdata_corrSergio_200_19900_2_100_3,49046.4672019451,0.0278691,47980.88825655997,3600.037229264,0.02220840388963507,0
AUpdata_corrSergio_200_19900_3_100_1,41872.98137242,0.0432405,36889.949437215015,1770.793109231,0.13507830753972364,0
AUpdata_corrSergio_200_19900_3_100_2,41103.89299156,0.0415799,40095.13461498498,2237.575185093,0.025159121830158795,0
AUpdata_corrSergio_200_19900_3_100_3,44082.8487137401,0.0410851,42542.86328963,3600.0,0.03619844328826555,0
AUpdata_corrSergio_200_19900_4_100_1,35919.74662429,0.0561796,34227.05078753001,3600.0,0.049454913520527145,0
AUpdata_corrSergio_200_19900_4_100_2,40408.194596465,0.0530663,36665.58513027999,794.6131844,0.1020741780851658,0
AUpdata_corrSergio_200_19900_4_100_3,42536.39687355,0.0524138,39230.40008287999,3361.272236944,0.08427129939245093,0
AUpdata_corrSergio_200_19900_5_100_1,34733.71713815,0.0660896,31939.48462699001,3600.0,0.08748520972685835,0
AUpdata_corrSergio_200_19900_5_100_2,37263.17203934,0.0627015,34545.88333662,2134.598300831,0.07865738085902617,0
AUpdata_corrSergio_200_19900_5_100_3,40408.664944275,0.0616766,36673.67394576,2374.612386958,0.10184392771880493,0
AUpdata_corrSergio_200_29850_10_100_1,25785.757730715,0.136904,22760.917198669995,2335.240783662,0.1328962495510399,0
AUpdata_corrSergio_200_29850_10_100_2,24334.79497878,0.1223539,20658.456707784997,2353.694248913,0.17795803060204393,0
AUpdata_corrSergio_200_29850_10_100_3,24851.14890125,0.1172043,20677.318485264994,2898.616668815,0.2018554977986796,0
AUpdata_corrSergio_200_29850_2_100_1,39385.162309885,0.0302677,37985.2687,3600.0,0.03685359240028234,0
AUpdata_corrSergio_200_29850_2_100_2,39989.7867098,0.0306725,37023.7091,3600.0,0.08011292444494705,0
AUpdata_corrSergio_200_29850_2_100_3,37136.242464825,0.0290549,33891.0157,3600.0,0.09575478036868036,0
AUpdata_corrSergio_200_29850_3_100_1,34799.485831835,0.0423021,34051.621910899994,3347.199041455,0.02196265196682496,0
AUpdata_corrSergio_200_29850_3_100_2,36534.468990125,0.0426028,31685.65060797001,3600.0,0.15302884078811854,0
