Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_500_124750_10_100_1,75073.394128435,526.8094529,,,,
AUpdata_corrSergio_500_124750_10_100_2,78329.5623131951,514.6008186,,,,
AUpdata_corrSergio_500_124750_10_100_3,76127.4916428001,343.1848362,,,,
AUpdata_corrSergio_500_124750_2_100_1,106220.73444446,22.7837946,,,,
AUpdata_corrSergio_500_124750_2_100_2,113346.251578745,28.3885576,,,,
AUpdata_corrSergio_500_124750_2_100_3,110333.1089701,24.6427629,,,,
AUpdata_corrSergio_500_124750_3_100_1,98773.698424065,48.9320538,,,,
AUpdata_corrSergio_500_124750_3_100_2,105368.56796457,41.9495379,,,,
AUpdata_corrSergio_500_124750_3_100_3,101153.48176414,46.6700114,,,,
AUpdata_corrSergio_500_124750_4_100_1,93351.1720883701,112.3984011,,,,
AUpdata_corrSergio_500_124750_4_100_2,98853.672268235,69.9559125,,,,
AUpdata_corrSergio_500_124750_4_100_3,95056.352761245,73.2363085,,,,
AUpdata_corrSergio_500_124750_5_100_1,88480.239151365,102.3177361,,,,
AUpdata_corrSergio_500_124750_5_100_2,94091.651787225,137.1503435,,,,
AUpdata_corrSergio_500_124750_5_100_3,91005.24280491,106.0988816,,,,
AUpdata_corrSergio_500_187125_10_100_1,71510.81036526,354.619556,,,,
AUpdata_corrSergio_500_187125_10_100_2,69729.3830084,304.7345616,,,,
AUpdata_corrSergio_500_187125_10_100_3,69163.56518994,515.738357,,,,
AUpdata_corrSergio_500_187125_2_100_1,100950.344688655,22.4093931,,,,
AUpdata_corrSergio_500_187125_2_100_2,99999.10929414,24.0785848,,,,
AUpdata_corrSergio_500_187125_2_100_3,98874.1418654,23.358781,,,,
AUpdata_corrSergio_500_187125_3_100_1,93612.30417184,48.7946148,,,,
AUpdata_corrSergio_500_187125_3_100_2,92119.9504484501,50.265898,,,,
AUpdata_corrSergio_500_187125_3_100_3,90799.6700219449,44.6570024,,,,
AUpdata_corrSergio_500_187125_4_100_1,89106.671781855,74.6188691,,,,
AUpdata_corrSergio_500_187125_4_100_2,87595.9002396251,78.6704331,,,,
AUpdata_corrSergio_500_187125_4_100_3,85522.021049355,72.9655054,,,,
AUpdata_corrSergio_500_187125_5_100_1,84616.16332019,103.9186789,,,,
AUpdata_corrSergio_500_187125_5_100_2,82813.0675663451,101.8274396,,,,
AUpdata_corrSergio_500_187125_5_100_3,81432.90755221,96.9045719,,,,
AUpdata_corrSergio_500_62375_10_100_1,98922.616146715,336.8897216,,,,
AUpdata_corrSergio_500_62375_10_100_2,100644.528823535,289.5044644,,,,
AUpdata_corrSergio_500_62375_10_100_3,102007.28510077,469.2544779,,,,
AUpdata_corrSergio_500_62375_2_100_1,139217.916145955,25.6236994,,,,
AUpdata_corrSergio_500_62375_2_100_2,141258.13336015,21.4438846,,,,
AUpdata_corrSergio_500_62375_2_100_3,142450.21975506,24.9334936,,,,
AUpdata_corrSergio_500_62375_3_100_1,129509.38267576,44.3688509,,,,
AUpdata_corrSergio_500_62375_3_100_2,131523.708910075,40.9851044,,,,
AUpdata_corrSergio_500_62375_3_100_3,132658.150241395,42.679455,,,,
AUpdata_corrSergio_500_62375_4_100_1,122855.69090042,70.6964318,,,,
AUpdata_corrSergio_500_62375_4_100_2,124230.26751744,66.2960019,,,,
AUpdata_corrSergio_500_62375_4_100_3,124834.394337385,73.1552647,,,,
AUpdata_corrSergio_500_62375_5_100_1,117530.489439325,99.9605918,,,,
AUpdata_corrSergio_500_62375_5_100_2,119329.145869935,100.536537,,,,
AUpdata_corrSergio_500_62375_5_100_3,118742.233483145,101.1435938,,,,
AUpdata_randomSergio_500_124750_10_100_1,2514908.90006612,452.9579689,,,,
AUpdata_randomSergio_500_124750_10_100_2,2830205.45159215,368.3420228,,,,
AUpdata_randomSergio_500_124750_10_100_3,2889848.80317398,407.9719772,,,,
AUpdata_randomSergio_500_124750_2_100_1,3763194.2050754,27.2591933,,,,
AUpdata_randomSergio_500_124750_2_100_2,4381017.11204151,23.4975004,,,,
AUpdata_randomSergio_500_124750_2_100_3,4477469.15668134,26.3632646,,,,
AUpdata_randomSergio_500_124750_3_100_1,3468089.85116932,56.1793282,,,,
AUpdata_randomSergio_500_124750_3_100_2,4021871.29837479,44.2921006,,,,
AUpdata_randomSergio_500_124750_3_100_3,4036098.70723884,56.6120876,,,,
AUpdata_randomSergio_500_124750_4_100_1,3232142.11597269,80.1418174,,,,
AUpdata_randomSergio_500_124750_4_100_2,3705504.30489086,76.4730517,,,,
AUpdata_randomSergio_500_124750_4_100_3,3747359.46791998,85.9905656,,,,
AUpdata_randomSergio_500_124750_5_100_1,3064666.25994899,120.5007256,,,,
AUpdata_randomSergio_500_124750_5_100_2,3531294.47787796,183.6707653,,,,
AUpdata_randomSergio_500_124750_5_100_3,3567150.76078759,144.0395638,,,,
AUpdata_randomSergio_500_187125_10_100_1,2703257.89046883,611.5819413,,,,
AUpdata_randomSergio_500_187125_10_100_2,2867218.24547574,690.7943395,,,,
AUpdata_randomSergio_500_187125_10_100_3,2504287.0166594,392.5653986,,,,
AUpdata_randomSergio_500_187125_2_100_1,4335346.72638812,23.8924813,,,,
AUpdata_randomSergio_500_187125_2_100_2,4278630.870653,30.7564649,,,,
AUpdata_randomSergio_500_187125_2_100_3,3910518.21831832,30.3678724,,,,
AUpdata_randomSergio_500_187125_3_100_1,3885876.62351626,44.1666838,,,,
AUpdata_randomSergio_500_187125_3_100_2,3916267.05427337,47.3553269,,,,
AUpdata_randomSergio_500_187125_3_100_3,3505888.93423205,50.8730248,,,,
AUpdata_randomSergio_500_187125_4_100_1,3580772.30047177,79.0805036,,,,
AUpdata_randomSergio_500_187125_4_100_2,3698227.06392475,86.8848994,,,,
AUpdata_randomSergio_500_187125_4_100_3,3295961.36214958,74.8556051,,,,
AUpdata_randomSergio_500_187125_5_100_1,3406123.23322499,177.5359419,,,,
AUpdata_randomSergio_500_187125_5_100_2,3505969.25704066,103.0213237,,,,
AUpdata_randomSergio_500_187125_5_100_3,3089492.60426947,184.7023663,,,,
AUpdata_randomSergio_500_62375_10_100_1,2536825.76291537,422.2592026,,,,
AUpdata_randomSergio_500_62375_10_100_2,2787337.26166126,410.1090699,,,,
AUpdata_randomSergio_500_62375_10_100_3,2657237.58190749,372.7662407,,,,
AUpdata_randomSergio_500_62375_2_100_1,3882969.91608578,23.2202455,,,,
AUpdata_randomSergio_500_62375_2_100_2,4057715.74934027,22.6625056,,,,
AUpdata_randomSergio_500_62375_2_100_3,4071812.58327815,22.4479238,,,,
AUpdata_randomSergio_500_62375_3_100_1,3520757.19128085,42.41936,,,,
AUpdata_randomSergio_500_62375_3_100_2,3677407.42608518,51.7533519,,,,
AUpdata_randomSergio_500_62375_3_100_3,3714825.32998633,50.1846951,,,,
AUpdata_randomSergio_500_62375_4_100_1,3261476.2835277,73.6167135,,,,
AUpdata_randomSergio_500_62375_4_100_2,3490390.86620681,124.9511483,,,,
AUpdata_randomSergio_500_62375_4_100_3,3449919.91206855,79.4931921,,,,
AUpdata_randomSergio_500_62375_5_100_1,3045568.29896934,125.2315388,,,,
AUpdata_randomSergio_500_62375_5_100_2,3451323.25713393,118.6093283,,,,
AUpdata_randomSergio_500_62375_5_100_3,3251360.82249042,112.6705416,,,,
