Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_corrSergio_200_19900_10_100_1,25393.799605975,25393.799605975,28655.1199415,25393.799605975,25393.799605975,25393.79960597501,bvns_random,-4.297874516859286e-16
AUpdata_corrSergio_200_19900_10_100_2,26891.378759235,26891.378759235,30397.2633543,26891.378759235,26891.378759235,26891.378759235013,bvns_random,-4.058526161484779e-16
AUpdata_corrSergio_200_19900_10_100_3,28194.339639885,28194.339639885,32311.97503098,28194.339639885,28194.339639885,28194.33963988501,bvns_random,-2.58064480570083e-16
AUpdata_corrSergio_200_19900_2_100_1,40375.96342249,40375.96342249,46811.575921645,40375.96342249,40375.96342249,40375.96342249,bvns_random,0.0
AUpdata_corrSergio_200_19900_2_100_2,45119.060538355,45119.060538355,47184.22249088,45119.060538355,45119.060538355,45119.060538355,bvns_random,0.0
AUpdata_corrSergio_200_19900_2_100_3,47980.88825656,47980.88825656,49046.4672019451,48190.1753653301,47980.88825656,47980.88825655997,bvns_random,6.065713144181864e-16
AUpdata_corrSergio_200_19900_3_100_1,36889.949437215,36889.949437215,41872.98137242,36889.949437215,36889.949437215,36889.949437215015,bvns_random,-3.944682887986479e-16
AUpdata_corrSergio_200_19900_3_100_2,40095.134614985,40095.134614985,41103.89299156,40095.134614985,40095.134614985,40095.13461498498,bvns_random,5.444020341159405e-16
AUpdata_corrSergio_200_19900_3_100_3,42542.86328963,42542.86328963,44082.8487137401,42542.86328963,42542.86328963,42542.86328963,bvns_random,0.0
AUpdata_corrSergio_200_19900_4_100_1,34227.05078753,34227.05078753,35919.74662429,34227.05078753,34227.05078753,34227.05078753001,bvns_random,-2.1257915732647015e-16
AUpdata_corrSergio_200_19900_4_100_2,36665.58513028,36665.58513028,40408.194596465,36665.58513028,36665.58513028,36665.58513027999,bvns_random,1.9844106096576738e-16
AUpdata_corrSergio_200_19900_4_100_3,39230.40008288,39230.40008288,42536.39687355,39230.40008288,39230.40008288,39230.40008287999,bvns_random,1.8546733142695193e-16
AUpdata_corrSergio_200_19900_5_100_1,31939.48462699,31939.48462699,34733.71713815,31939.48462699,31939.48462699,31939.48462699001,bvns_random,-3.4170671658403875e-16
AUpdata_corrSergio_200_19900_5_100_2,34545.88333662,34566.390387285,37263.17203934,34545.88333662,34545.88333662,34545.88333662,bvns_random,0.0
AUpdata_corrSergio_200_19900_5_100_3,36673.67394576,36673.67394576,40408.664944275,36673.67394576,36673.67394576,36673.67394576,bvns_random,0.0
