Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_500_124750_10_100_1,75073.394128435,131.7551903,,,,
AUpdata_corrSergio_500_124750_10_100_2,78412.10640961,89.3319453,,,,
AUpdata_corrSergio_500_124750_10_100_3,76358.722956635,81.4126557,,,,
AUpdata_corrSergio_500_124750_2_100_1,106220.73444446,10.2985117,,,,
AUpdata_corrSergio_500_124750_2_100_2,113346.251578745,12.5386244,,,,
AUpdata_corrSergio_500_124750_2_100_3,110333.1089701,10.3725806,,,,
AUpdata_corrSergio_500_124750_3_100_1,98773.698424065,22.1501203,,,,
AUpdata_corrSergio_500_124750_3_100_2,105368.56796457,14.0187843,,,,
AUpdata_corrSergio_500_124750_3_100_3,101153.48176414,16.4831543,,,,
AUpdata_corrSergio_500_124750_4_100_1,93477.215007875,21.5426986,,,,
AUpdata_corrSergio_500_124750_4_100_2,98853.672268235,21.5691654,,,,
AUpdata_corrSergio_500_124750_4_100_3,95056.352761245,20.7608085,,,,
AUpdata_corrSergio_500_124750_5_100_1,88480.239151365,28.446285,,,,
AUpdata_corrSergio_500_124750_5_100_2,94091.651787225,26.0039429,,,,
AUpdata_corrSergio_500_124750_5_100_3,91005.24280491,24.8121198,,,,
AUpdata_corrSergio_500_187125_10_100_1,71334.74346819,121.8287537,,,,
AUpdata_corrSergio_500_187125_10_100_2,69729.3830084,69.7517172,,,,
AUpdata_corrSergio_500_187125_10_100_3,69163.56518994,84.4100825,,,,
AUpdata_corrSergio_500_187125_2_100_1,100950.344688655,9.6695407,,,,
AUpdata_corrSergio_500_187125_2_100_2,99999.10929414,10.0573583,,,,
AUpdata_corrSergio_500_187125_2_100_3,98874.1418654,12.0589943,,,,
AUpdata_corrSergio_500_187125_3_100_1,93612.30417184,17.8455582,,,,
AUpdata_corrSergio_500_187125_3_100_2,92119.9504484501,17.4420383,,,,
AUpdata_corrSergio_500_187125_3_100_3,90799.6700219449,13.6532717,,,,
AUpdata_corrSergio_500_187125_4_100_1,89106.671781855,26.8088905,,,,
AUpdata_corrSergio_500_187125_4_100_2,87608.1624212151,18.5627713,,,,
AUpdata_corrSergio_500_187125_4_100_3,85522.021049355,17.310883,,,,
AUpdata_corrSergio_500_187125_5_100_1,84616.16332019,31.5615997,,,,
AUpdata_corrSergio_500_187125_5_100_2,82813.0675663451,23.9070334,,,,
AUpdata_corrSergio_500_187125_5_100_3,81432.90755221,21.5408062,,,,
AUpdata_corrSergio_500_62375_10_100_1,98922.616146715,53.4467085,,,,
AUpdata_corrSergio_500_62375_10_100_2,100644.528823535,93.3121339,,,,
AUpdata_corrSergio_500_62375_10_100_3,102007.28510077,91.3743782,,,,
AUpdata_corrSergio_500_62375_2_100_1,139217.916145955,12.5938214,,,,
AUpdata_corrSergio_500_62375_2_100_2,141258.13336015,9.5780005,,,,
AUpdata_corrSergio_500_62375_2_100_3,143128.9377668,9.5932332,,,,
AUpdata_corrSergio_500_62375_3_100_1,129509.38267576,16.4932814,,,,
AUpdata_corrSergio_500_62375_3_100_2,131523.708910075,13.566551,,,,
AUpdata_corrSergio_500_62375_3_100_3,132658.150241395,14.9707226,,,,
AUpdata_corrSergio_500_62375_4_100_1,122855.69090042,20.2709663,,,,
AUpdata_corrSergio_500_62375_4_100_2,124230.26751744,18.096859,,,,
AUpdata_corrSergio_500_62375_4_100_3,124834.394337385,28.1347737,,,,
AUpdata_corrSergio_500_62375_5_100_1,117530.489439325,27.7121528,,,,
AUpdata_corrSergio_500_62375_5_100_2,119329.145869935,22.309457,,,,
AUpdata_corrSergio_500_62375_5_100_3,120787.878919205,28.5675658,,,,
AUpdata_randomSergio_500_124750_10_100_1,2514908.90006612,91.3476622,,,,
AUpdata_randomSergio_500_124750_10_100_2,2836971.04481787,155.757761,,,,
AUpdata_randomSergio_500_124750_10_100_3,2913092.83588154,70.8775568,,,,
AUpdata_randomSergio_500_124750_2_100_1,3799328.61846075,9.8581071,,,,
AUpdata_randomSergio_500_124750_2_100_2,4381017.11204151,10.569656,,,,
AUpdata_randomSergio_500_124750_2_100_3,4477469.15668134,10.555572,,,,
AUpdata_randomSergio_500_124750_3_100_1,3507562.37347039,17.3360461,,,,
AUpdata_randomSergio_500_124750_3_100_2,4021871.29837479,16.1782842,,,,
AUpdata_randomSergio_500_124750_3_100_3,4036098.70723884,16.7119715,,,,
AUpdata_randomSergio_500_124750_4_100_1,3295659.60990746,25.0480879,,,,
AUpdata_randomSergio_500_124750_4_100_2,3706594.7022205,19.9275573,,,,
AUpdata_randomSergio_500_124750_4_100_3,3747359.46791998,24.0371434,,,,
AUpdata_randomSergio_500_124750_5_100_1,3064666.25994899,31.2543175,,,,
AUpdata_randomSergio_500_124750_5_100_2,3531294.47787796,28.4168724,,,,
AUpdata_randomSergio_500_124750_5_100_3,3567150.76078759,32.1691811,,,,
AUpdata_randomSergio_500_187125_10_100_1,2682818.92388752,145.3953789,,,,
AUpdata_randomSergio_500_187125_10_100_2,2874458.59363009,97.9065931,,,,
AUpdata_randomSergio_500_187125_10_100_3,2516174.04204084,69.4017475,,,,
AUpdata_randomSergio_500_187125_2_100_1,4335346.72638812,10.1434465,,,,
AUpdata_randomSergio_500_187125_2_100_2,4278630.870653,10.6152828,,,,
AUpdata_randomSergio_500_187125_2_100_3,3943731.85642941,9.4518477,,,,
AUpdata_randomSergio_500_187125_3_100_1,3989338.32327272,18.3438512,,,,
AUpdata_randomSergio_500_187125_3_100_2,3916267.05427337,15.4402479,,,,
AUpdata_randomSergio_500_187125_3_100_3,3568851.73794703,20.3822328,,,,
AUpdata_randomSergio_500_187125_4_100_1,3637525.43066633,23.228982,,,,
AUpdata_randomSergio_500_187125_4_100_2,3698227.06392475,27.0882625,,,,
AUpdata_randomSergio_500_187125_4_100_3,3295961.36214958,28.4381854,,,,
AUpdata_randomSergio_500_187125_5_100_1,3431930.71665922,34.0023955,,,,
AUpdata_randomSergio_500_187125_5_100_2,3472043.07148647,38.7269941,,,,
AUpdata_randomSergio_500_187125_5_100_3,3091972.4241734,26.6498207,,,,
AUpdata_randomSergio_500_62375_10_100_1,2536825.76291537,81.4437289,,,,
AUpdata_randomSergio_500_62375_10_100_2,2787337.26166126,107.7569956,,,,
AUpdata_randomSergio_500_62375_10_100_3,2675168.735619,73.0749053,,,,
AUpdata_randomSergio_500_62375_2_100_1,3882969.91608578,9.8043854,,,,
AUpdata_randomSergio_500_62375_2_100_2,4057715.74934027,10.720282,,,,
AUpdata_randomSergio_500_62375_2_100_3,4071812.58327815,9.9027424,,,,
AUpdata_randomSergio_500_62375_3_100_1,3520757.19128085,14.1368868,,,,
AUpdata_randomSergio_500_62375_3_100_2,3677407.42608518,19.7383245,,,,
AUpdata_randomSergio_500_62375_3_100_3,3741788.85027494,14.047913,,,,
AUpdata_randomSergio_500_62375_4_100_1,3261476.2835277,20.1293353,,,,
AUpdata_randomSergio_500_62375_4_100_2,3490390.86620681,33.3659493,,,,
AUpdata_randomSergio_500_62375_4_100_3,3449919.91206855,31.378285,,,,
AUpdata_randomSergio_500_62375_5_100_1,3082215.54466257,25.6661272,,,,
AUpdata_randomSergio_500_62375_5_100_2,3301065.08277647,37.2182957,,,,
AUpdata_randomSergio_500_62375_5_100_3,3251360.82249042,30.9866428,,,,
