Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_500_124750_10_100_1,75073.394128435,169.6588118,,,,
AUpdata_corrSergio_500_124750_10_100_2,78412.10640961,163.6942777,,,,
AUpdata_corrSergio_500_124750_10_100_3,76127.4916428001,173.2067789,,,,
AUpdata_corrSergio_500_124750_2_100_1,106220.73444446,13.3535387,,,,
AUpdata_corrSergio_500_124750_2_100_2,113346.251578745,14.6913089,,,,
AUpdata_corrSergio_500_124750_2_100_3,110333.1089701,13.5388297,,,,
AUpdata_corrSergio_500_124750_3_100_1,98773.698424065,22.7953981,,,,
AUpdata_corrSergio_500_124750_3_100_2,105368.56796457,22.2376781,,,,
AUpdata_corrSergio_500_124750_3_100_3,101153.48176414,23.8148142,,,,
AUpdata_corrSergio_500_124750_4_100_1,93351.1720883701,33.5315991,,,,
AUpdata_corrSergio_500_124750_4_100_2,98853.672268235,49.0062773,,,,
AUpdata_corrSergio_500_124750_4_100_3,95056.352761245,37.2236205,,,,
AUpdata_corrSergio_500_124750_5_100_1,88480.239151365,69.3568892,,,,
AUpdata_corrSergio_500_124750_5_100_2,94091.651787225,65.8462353,,,,
AUpdata_corrSergio_500_124750_5_100_3,91005.24280491,48.9812979,,,,
AUpdata_corrSergio_500_187125_10_100_1,71334.74346819,238.3808236,,,,
AUpdata_corrSergio_500_187125_10_100_2,69729.3830084,138.8104824,,,,
AUpdata_corrSergio_500_187125_10_100_3,69163.56518994,189.1727157,,,,
AUpdata_corrSergio_500_187125_2_100_1,100950.344688655,12.3567765,,,,
AUpdata_corrSergio_500_187125_2_100_2,99999.10929414,13.2159636,,,,
AUpdata_corrSergio_500_187125_2_100_3,98874.1418654,12.6495852,,,,
AUpdata_corrSergio_500_187125_3_100_1,93612.30417184,23.4363878,,,,
AUpdata_corrSergio_500_187125_3_100_2,92119.9504484501,22.632066,,,,
AUpdata_corrSergio_500_187125_3_100_3,90799.6700219449,22.0153943,,,,
AUpdata_corrSergio_500_187125_4_100_1,89106.671781855,45.5945832,,,,
AUpdata_corrSergio_500_187125_4_100_2,87608.1624212151,32.1897955,,,,
AUpdata_corrSergio_500_187125_4_100_3,85522.021049355,32.8558298,,,,
AUpdata_corrSergio_500_187125_5_100_1,84616.16332019,55.1340067,,,,
AUpdata_corrSergio_500_187125_5_100_2,82813.0675663451,44.9666558,,,,
AUpdata_corrSergio_500_187125_5_100_3,81432.90755221,45.7924193,,,,
AUpdata_corrSergio_500_62375_10_100_1,98922.616146715,156.784598,,,,
AUpdata_corrSergio_500_62375_10_100_2,100644.528823535,249.7835673,,,,
AUpdata_corrSergio_500_62375_10_100_3,102007.28510077,230.1182559,,,,
AUpdata_corrSergio_500_62375_2_100_1,139217.916145955,13.2497991,,,,
AUpdata_corrSergio_500_62375_2_100_2,141258.13336015,12.1901688,,,,
AUpdata_corrSergio_500_62375_2_100_3,142450.21975506,16.6024833,,,,
AUpdata_corrSergio_500_62375_3_100_1,129509.38267576,21.9439206,,,,
AUpdata_corrSergio_500_62375_3_100_2,131523.708910075,21.5021703,,,,
AUpdata_corrSergio_500_62375_3_100_3,132658.150241395,23.9999269,,,,
AUpdata_corrSergio_500_62375_4_100_1,122855.69090042,33.4354626,,,,
AUpdata_corrSergio_500_62375_4_100_2,124230.26751744,31.4325382,,,,
AUpdata_corrSergio_500_62375_4_100_3,124834.394337385,51.6944514,,,,
AUpdata_corrSergio_500_62375_5_100_1,117530.489439325,43.5628688,,,,
AUpdata_corrSergio_500_62375_5_100_2,119329.145869935,43.7483663,,,,
AUpdata_corrSergio_500_62375_5_100_3,118742.233483145,72.9767495,,,,
AUpdata_randomSergio_500_124750_10_100_1,2525747.71693479,205.424344,,,,
AUpdata_randomSergio_500_124750_10_100_2,2836971.04481787,336.730049,,,,
AUpdata_randomSergio_500_124750_10_100_3,2889848.80317398,294.3874321,,,,
AUpdata_randomSergio_500_124750_2_100_1,3763194.2050754,21.4107395,,,,
AUpdata_randomSergio_500_124750_2_100_2,4381017.11204151,13.8111613,,,,
AUpdata_randomSergio_500_124750_2_100_3,4477469.15668134,14.240319,,,,
