Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_200_19900_10_100_1,25393.799605975,28.9845021,25393.79960597501,2829.415345523,-4.297874516859286e-16,1
AUpdata_corrSergio_200_19900_10_100_2,26891.378759235,33.5774006,26891.378759235013,2154.665988218,-4.058526161484779e-16,1
AUpdata_corrSergio_200_19900_10_100_3,28194.339639885,35.8553023,28194.33963988501,2315.104082554,-2.58064480570083e-16,1
AUpdata_corrSergio_200_19900_2_100_1,40375.96342249,2.9278321,40375.96342249,470.563687508,0.0,1
AUpdata_corrSergio_200_19900_2_100_2,45119.060538355,2.9464994,45119.060538355,771.857343177,0.0,1
AUpdata_corrSergio_200_19900_2_100_3,47980.88825656,3.068518,47980.88825655997,3600.037229264,6.065713144181864e-16,1
AUpdata_corrSergio_200_19900_3_100_1,36889.949437215,5.1592398,36889.949437215015,1770.793109231,-3.944682887986479e-16,1
AUpdata_corrSergio_200_19900_3_100_2,40095.134614985,5.3512721,40095.13461498498,2237.575185093,5.444020341159405e-16,1
AUpdata_corrSergio_200_19900_3_100_3,42542.86328963,5.8342543,42542.86328963,3600.0,0.0,1
AUpdata_corrSergio_200_19900_4_100_1,34227.05078753,8.2745127,34227.05078753001,3600.0,-2.1257915732647015e-16,1
AUpdata_corrSergio_200_19900_4_100_2,36665.58513028,9.0064289,36665.58513027999,794.6131844,1.9844106096576738e-16,1
AUpdata_corrSergio_200_19900_4_100_3,39230.40008288,9.526539,39230.40008287999,3361.272236944,1.8546733142695193e-16,1
AUpdata_corrSergio_200_19900_5_100_1,31939.48462699,10.7523348,31939.48462699001,3600.0,-3.4170671658403875e-16,1
AUpdata_corrSergio_200_19900_5_100_2,34545.88333662,14.2541484,34545.88333662,2134.598300831,0.0,1
AUpdata_corrSergio_200_19900_5_100_3,36673.67394576,12.4955831,36673.67394576,2374.612386958,0.0,1
AUpdata_corrSergio_200_29850_10_100_1,22760.91719867,39.9174799,22760.917198669995,2335.240783662,1.5983445549831768e-16,1
AUpdata_corrSergio_200_29850_10_100_2,20658.456707785,53.8502957,20658.456707784997,2353.694248913,1.7610118986868782e-16,1
AUpdata_corrSergio_200_29850_10_100_3,20677.318485265,39.6590471,20677.318485264994,2898.616668815,3.518811019605079e-16,1
AUpdata_corrSergio_200_29850_2_100_1,37303.65126831,3.220664,37985.2687,3600.0,-0.017944257208584644,1
AUpdata_corrSergio_200_29850_2_100_2,36111.243895775,3.3562668,37023.7091,3600.0,-0.024645429277776004,1
AUpdata_corrSergio_200_29850_2_100_3,33891.01568136,3.153719,33891.0157,3600.0,-5.499984646770204e-10,1
AUpdata_corrSergio_200_29850_3_100_1,34051.6219109,6.2313352,34051.621910899994,3347.199041455,2.136743334347424e-16,1
AUpdata_corrSergio_200_29850_3_100_2,31685.65060797,6.2726692,31685.65060797001,3600.0,-2.2962942134927405e-16,1
AUpdata_corrSergio_200_29850_3_100_3,30381.293897655,6.6642841,30381.293897654967,3600.0,1.0776963408511265e-15,1
AUpdata_corrSergio_200_29850_4_100_1,31200.919798105,9.0467058,31200.919798104987,3600.0,3.4979534231353033e-16,1
AUpdata_corrSergio_200_29850_4_100_2,28921.602620385,10.4495127,28921.602620385012,3582.490603823,-3.773627818806484e-16,1
AUpdata_corrSergio_200_29850_4_100_3,27973.043759075,8.7105556,27973.043759074983,3582.314457941,6.502650977892751e-16,1
AUpdata_corrSergio_200_29850_5_100_1,29450.5434422,12.7964228,29450.54344219999,3600.0,3.705852302078897e-16,1
AUpdata_corrSergio_200_29850_5_100_2,26871.936027905,14.2729089,26871.936027904998,2769.066948148,1.35382087963959e-16,1
AUpdata_corrSergio_200_29850_5_100_3,26392.277666635,13.4387619,26392.277666635455,3451.355366106,-1.7230318528413554e-14,1
AUpdata_corrSergio_200_9950_10_100_1,39256.737739135,31.0479289,39256.737739134995,511.891350855,1.8534289992543198e-16,1
AUpdata_corrSergio_200_9950_10_100_2,43331.723507995,33.4396289,43331.723507995026,425.042738115,-6.716518084346179e-16,1
AUpdata_corrSergio_200_9950_10_100_3,42389.249534105,27.0563622,42389.24953410502,341.836180028,-5.149388838551689e-16,1
AUpdata_corrSergio_200_9950_2_100_1,68155.219611195,3.8020391,68155.219611195,1111.027688127,0.0,1
AUpdata_corrSergio_200_9950_2_100_2,70337.13598434,3.1843383,70337.13598433998,545.132321471,2.0688808301217615e-16,1
AUpdata_corrSergio_200_9950_2_100_3,66395.000141525,2.9327432,66395.000141525,45.913460359,0.0,1
AUpdata_corrSergio_200_9950_3_100_1,60963.87492499,6.0750167,60963.87492498998,3332.51682517,3.5804602101502437e-16,1
AUpdata_corrSergio_200_9950_3_100_2,64316.01173021,5.9093677,64316.01173021002,1411.10956362,-3.393847388129861e-16,1
AUpdata_corrSergio_200_9950_3_100_3,61865.52047372,4.858742,61865.52047372001,451.194221319,-2.3521850486246844e-16,1
AUpdata_corrSergio_200_9950_4_100_1,55583.483491625,9.9128384,55583.483491625004,1873.418129852,-1.3090143253219682e-16,1
AUpdata_corrSergio_200_9950_4_100_2,59892.725289735,8.1671906,59892.72528973503,1054.338723917,-6.074158070938914e-16,1
AUpdata_corrSergio_200_9950_4_100_3,57528.2806439,6.4716453,57528.28064390002,441.535174499,-3.7942856275619954e-16,1
AUpdata_corrSergio_200_9950_5_100_1,51434.61686117,12.1226297,51434.61686117002,1806.010291141,-4.2438097481054596e-16,1
AUpdata_corrSergio_200_9950_5_100_2,56196.40892875,11.6722936,56196.40892875002,3137.084025932,-2.589474221887888e-16,1
AUpdata_corrSergio_200_9950_5_100_3,53654.003662455,10.0501005,53654.00366245503,296.605394558,-5.424353910256174e-16,1
AUpdata_randomSergio_200_19900_10_100_1,616424.935422885,41.6420948,,,,
AUpdata_randomSergio_200_19900_10_100_2,695251.06884213,44.3057194,,,,
AUpdata_randomSergio_200_19900_10_100_3,694467.80634308,40.5742144,,,,
AUpdata_randomSergio_200_19900_2_100_1,1143848.13870835,3.2989984,,,,
AUpdata_randomSergio_200_19900_2_100_2,1225902.28514842,3.4513056,,,,
AUpdata_randomSergio_200_19900_2_100_3,1125662.38246768,3.1095733,,,,
AUpdata_randomSergio_200_19900_3_100_1,994640.607160895,6.2815463,,,,
AUpdata_randomSergio_200_19900_3_100_2,1117008.48804244,6.3682843,,,,
AUpdata_randomSergio_200_19900_3_100_3,1008692.6842691,6.4348807,,,,
AUpdata_randomSergio_200_19900_4_100_1,895006.563950165,10.2366569,,,,
AUpdata_randomSergio_200_19900_4_100_2,1014876.56210811,9.7620695,,,,
AUpdata_randomSergio_200_19900_4_100_3,943046.77245627,9.8622831,,,,
AUpdata_randomSergio_200_19900_5_100_1,838981.065983555,13.7457128,,,,
AUpdata_randomSergio_200_19900_5_100_2,942802.436367304,15.643757,,,,
AUpdata_randomSergio_200_19900_5_100_3,890088.718033865,14.2484747,,,,
AUpdata_randomSergio_200_29850_10_100_1,714650.516944765,47.5401555,,,,
AUpdata_randomSergio_200_29850_10_100_2,644369.59786761,59.8494077,,,,
AUpdata_randomSergio_200_29850_10_100_3,605299.89639202,45.6327214,,,,
AUpdata_randomSergio_200_29850_2_100_1,1282733.68712203,4.0469764,,,,
AUpdata_randomSergio_200_29850_2_100_2,1155811.56377216,3.6873448,,,,
AUpdata_randomSergio_200_29850_2_100_3,1005495.30473096,3.5155205,,,,
AUpdata_randomSergio_200_29850_3_100_1,1142787.62082382,6.0235883,,,,
AUpdata_randomSergio_200_29850_3_100_2,1019627.42422932,5.7130977,,,,
AUpdata_randomSergio_200_29850_3_100_3,930909.2375678,6.8266633,,,,
AUpdata_randomSergio_200_29850_4_100_1,1045382.80099378,9.5383792,,,,
AUpdata_randomSergio_200_29850_4_100_2,913440.711122779,9.1536228,,,,
AUpdata_randomSergio_200_29850_4_100_3,852140.429192605,8.4439884,,,,
AUpdata_randomSergio_200_29850_5_100_1,932635.610050904,13.2264922,,,,
AUpdata_randomSergio_200_29850_5_100_2,841785.794625735,19.3427917,,,,
AUpdata_randomSergio_200_29850_5_100_3,775947.665657055,13.5999942,,,,
AUpdata_randomSergio_200_9950_10_100_1,598066.473300785,40.4383303,,,,
AUpdata_randomSergio_200_9950_10_100_2,702049.14217078,49.8192246,,,,
AUpdata_randomSergio_200_9950_10_100_3,759678.55600706,47.5913995,,,,
AUpdata_randomSergio_200_9950_2_100_1,1121196.66237823,3.7147055,,,,
AUpdata_randomSergio_200_9950_2_100_2,1118118.6587457,3.3259224,,,,
AUpdata_randomSergio_200_9950_2_100_3,1328320.1967924,3.2916713,,,,
AUpdata_randomSergio_200_9950_3_100_1,1010803.85526721,5.7073383,,,,
AUpdata_randomSergio_200_9950_3_100_2,999338.799332135,6.1368853,,,,
AUpdata_randomSergio_200_9950_3_100_3,1194154.24815405,5.54648,,,,
AUpdata_randomSergio_200_9950_4_100_1,894227.13805167,9.4048942,,,,
AUpdata_randomSergio_200_9950_4_100_2,932129.35022881,11.4031096,,,,
AUpdata_randomSergio_200_9950_4_100_3,1066841.73080141,8.5272225,,,,
AUpdata_randomSergio_200_9950_5_100_1,816745.067921005,14.3045902,,,,
AUpdata_randomSergio_200_9950_5_100_2,871770.933409055,13.9556299,,,,
AUpdata_randomSergio_200_9950_5_100_3,990969.211150085,13.1031683,,,,
