Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_100_2475_10_100_1,23748.870334715,5.9001683,23748.870334715004,73.051138124,-1.5318534127384927e-16,1
AUpdata_corrSergio_100_2475_10_100_2,24500.55321986,5.0999191,24500.553219859994,14.756551993,2.969711560751853e-16,1
AUpdata_corrSergio_100_2475_10_100_3,28076.309429,6.1224011,28076.309428999997,5.964953152,1.295746799019834e-16,1
AUpdata_corrSergio_100_2475_2_100_1,48203.25973393,0.6688172,48203.25973392999,5.707317094,1.5094326927981434e-16,1
AUpdata_corrSergio_100_2475_2_100_2,46625.356857105,0.6354268,46625.35685710501,5.671399887,-3.121030316821984e-16,1
AUpdata_corrSergio_100_2475_2_100_3,55140.785456655,0.6947644,55140.785456655,37.470247434,0.0,1
AUpdata_corrSergio_100_2475_3_100_1,43409.921649165,1.208991,43409.92164916502,49.89393514,-5.028314268558495e-16,1
AUpdata_corrSergio_100_2475_3_100_2,41767.76998289,1.1846733,41767.76998288999,21.273789365,1.7420028929396983e-16,1
AUpdata_corrSergio_100_2475_3_100_3,49860.32175114,1.2299252,49860.321751139985,55.536551455,2.9185361660916565e-16,1
AUpdata_corrSergio_100_2475_4_100_1,39155.102936385,1.8564735,39155.102936384996,43.429240247,1.8582399402715452e-16,1
AUpdata_corrSergio_100_2475_4_100_2,37564.201390975,1.7269786,37564.201390974995,14.214285604,1.9369392519366896e-16,1
AUpdata_corrSergio_100_2475_4_100_3,45445.43807418,1.7871215,45445.43807417998,65.959690679,3.202062923150604e-16,1
AUpdata_corrSergio_100_2475_5_100_1,35438.029295465,2.6337996,35438.029295465,77.646158915,0.0,1
AUpdata_corrSergio_100_2475_5_100_2,33963.35363704,2.2710497,33963.35363704,5.230910709,0.0,1
AUpdata_corrSergio_100_2475_5_100_3,41504.26083157,2.7571703,41504.26083157001,48.583745948,-3.5061256210345537e-16,1
AUpdata_corrSergio_100_4950_10_100_1,11530.97054502,5.8416459,11530.970545020004,48.301321443,-3.1549632295807774e-16,1
AUpdata_corrSergio_100_4950_10_100_2,10845.594196845,5.9539598,10845.594196845004,65.408404284,-3.3543379376576757e-16,1
AUpdata_corrSergio_100_4950_10_100_3,12035.36583344,5.8289814,12035.365833439999,39.512263192,1.511370263870031e-16,1
AUpdata_corrSergio_100_4950_2_100_1,26889.078833975,0.7379166,26889.078833975003,58.542468091,-1.352957767558418e-16,1
AUpdata_corrSergio_100_4950_2_100_2,23867.49279961,0.7749857,23867.49279961,27.100482083,0.0,1
AUpdata_corrSergio_100_4950_2_100_3,24113.139363825,0.6841525,24113.139363825012,36.987084066,-4.5261366662394995e-16,1
AUpdata_corrSergio_100_4950_3_100_1,23171.537935175,1.2644447,23171.537935175,88.342079494,0.0,1
AUpdata_corrSergio_100_4950_3_100_2,20590.039066825,1.2261514,20590.03906682502,26.471818528,-8.834317398050204e-16,1
AUpdata_corrSergio_100_4950_3_100_3,21194.95385061,1.2575698,21194.95385061,37.96385265,0.0,1
AUpdata_corrSergio_100_4950_4_100_1,19990.31170014,1.8428466,19990.311700140002,77.165996837,-1.8198709763321172e-16,1
AUpdata_corrSergio_100_4950_4_100_2,18566.27217269,1.8224756,18566.27217269001,38.414932056,-3.9189114252488283e-16,1
AUpdata_corrSergio_100_4950_4_100_3,18990.04108049,1.9453714,18990.041080490006,45.632397403,-3.831459649478379e-16,1
AUpdata_corrSergio_100_4950_5_100_1,18071.064618215,2.5961644,18071.06461821503,95.260600866,-1.6105210772915954e-15,1
AUpdata_corrSergio_100_4950_5_100_2,16965.061179845,2.6642045,16965.061179845008,133.531196194,-4.288789493330845e-16,1
