Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_corrSergio_100_2475_10_100_1,23748.870334715,23748.870334715,31072.85020745,23845.79258146,23748.870334715,23748.870334715004,bvns_random,-1.5318534127384927e-16
AUpdata_corrSergio_100_2475_10_100_2,24500.55321986,24500.55321986,30760.975621155,24500.55321986,24500.55321986,24500.553219859994,bvns_random,2.969711560751853e-16
AUpdata_corrSergio_100_2475_10_100_3,28076.309429,28076.309429,35124.996859755,28076.309429,28076.309429,28076.309428999997,bvns_random,1.295746799019834e-16
AUpdata_corrSergio_100_2475_2_100_1,48203.25973393,48203.25973393,51610.22676998,48203.25973393,48203.25973393,48203.25973392999,bvns_random,1.5094326927981434e-16
AUpdata_corrSergio_100_2475_2_100_2,46625.356857105,46625.356857105,46625.356857105,46625.356857105,46625.356857105,46625.35685710501,bvns_random,-3.121030316821984e-16
AUpdata_corrSergio_100_2475_2_100_3,55140.785456655,55140.785456655,58060.00409521,55140.785456655,55140.785456655,55140.785456655,bvns_random,0.0
AUpdata_corrSergio_100_2475_3_100_1,43409.921649165,43409.921649165,44167.103457575,43409.921649165,43409.921649165,43409.92164916502,bvns_random,-5.028314268558495e-16
AUpdata_corrSergio_100_2475_3_100_2,41767.76998289,41767.76998289,42371.865400185,41767.76998289,41767.76998289,41767.76998288999,bvns_random,1.7420028929396983e-16
AUpdata_corrSergio_100_2475_3_100_3,49860.32175114,49860.32175114,52412.62792207,49860.32175114,49860.32175114,49860.321751139985,bvns_random,2.9185361660916565e-16
AUpdata_corrSergio_100_2475_4_100_1,39155.102936385,39155.102936385,41231.486335655,39155.102936385,39155.102936385,39155.102936384996,bvns_random,1.8582399402715452e-16
AUpdata_corrSergio_100_2475_4_100_2,37564.201390975,37564.201390975,41848.28552232,37564.201390975,37564.201390975,37564.201390974995,bvns_random,1.9369392519366896e-16
AUpdata_corrSergio_100_2475_4_100_3,45445.43807418,45445.43807418,50456.154364755,45445.43807418,45445.43807418,45445.43807417998,bvns_random,3.202062923150604e-16
AUpdata_corrSergio_100_2475_5_100_1,35438.029295465,35438.029295465,42252.65434517,35438.029295465,35438.029295465,35438.029295465,bvns_random,0.0
AUpdata_corrSergio_100_2475_5_100_2,33963.35363704,33963.35363704,38053.78024672,33963.35363704,33963.35363704,33963.35363704,bvns_random,0.0
AUpdata_corrSergio_100_2475_5_100_3,41504.26083157,41638.662915225,49452.938629235,41638.662915225,41504.26083157,41504.26083157001,bvns_random,-3.5061256210345537e-16
AUpdata_corrSergio_100_4950_10_100_1,11530.97054502,11530.97054502,14607.455593265,11547.309502555,11530.97054502,11530.970545020004,bvns_random,-3.1549632295807774e-16
AUpdata_corrSergio_100_4950_10_100_2,10845.594196845,10845.594196845,14556.303749195,10845.594196845,10845.594196845,10845.594196845004,bvns_random,-3.3543379376576757e-16
AUpdata_corrSergio_100_4950_10_100_3,12035.36583344,12035.36583344,15177.94685652,12035.36583344,12035.36583344,12035.365833439999,bvns_random,1.511370263870031e-16
AUpdata_corrSergio_100_4950_2_100_1,26889.078833975,26889.078833975,28158.48814588,26889.078833975,26889.078833975,26889.078833975003,bvns_random,-1.352957767558418e-16
AUpdata_corrSergio_100_4950_2_100_2,23867.49279961,23867.49279961,25588.32399829,23867.49279961,23867.49279961,23867.49279961,bvns_random,0.0
AUpdata_corrSergio_100_4950_2_100_3,24113.139363825,24113.139363825,26718.09938725,24113.139363825,24113.139363825,24113.139363825012,bvns_random,-4.5261366662394995e-16
AUpdata_corrSergio_100_4950_3_100_1,23171.537935175,23171.537935175,24873.06164737,23171.537935175,23171.537935175,23171.537935175,bvns_random,0.0
AUpdata_corrSergio_100_4950_3_100_2,20590.039066825,20590.039066825,23733.40391884,20590.039066825,20590.039066825,20590.03906682502,bvns_random,-8.834317398050204e-16
AUpdata_corrSergio_100_4950_3_100_3,21194.95385061,21194.95385061,21194.95385061,21194.95385061,21194.95385061,21194.95385061,bvns_random,0.0
AUpdata_corrSergio_100_4950_4_100_1,19990.31170014,19990.31170014,23867.377842825,19990.31170014,19990.31170014,19990.311700140002,bvns_random,-1.8198709763321172e-16
AUpdata_corrSergio_100_4950_4_100_2,18566.27217269,18566.27217269,20664.983358615,18566.27217269,18566.27217269,18566.27217269001,bvns_random,-3.9189114252488283e-16
AUpdata_corrSergio_100_4950_4_100_3,18990.04108049,18990.04108049,23473.064982765,18990.04108049,18990.04108049,18990.041080490006,bvns_random,-3.831459649478379e-16
AUpdata_corrSergio_100_4950_5_100_1,18071.064618215,18071.064618215,21824.44429124,18071.064618215,18071.064618215,18071.06461821503,bvns_random,-1.6105210772915954e-15
AUpdata_corrSergio_100_4950_5_100_2,16965.061179845,16965.061179845,19304.632089365,16965.061179845,16965.061179845,16965.061179845008,bvns_random,-4.288789493330845e-16
AUpdata_corrSergio_100_4950_5_100_3,17353.374518655,17353.374518655,18619.512023825,17353.374518655,17353.374518655,17353.374518655008,bvns_random,-4.192820022619645e-16
AUpdata_corrSergio_100_7425_10_100_1,8390.13480972,8390.13480972,10303.17971636,8390.13480972,8390.13480972,8390.134809720003,bvns_random,-2.168009745729652e-16
AUpdata_corrSergio_100_7425_10_100_2,10481.92965105,10481.92965105,14226.42304663,10481.92965105,10481.92965105,10481.929651050003,bvns_random,-1.7353573856161527e-16
AUpdata_corrSergio_100_7425_10_100_3,8810.39723026,8810.39723026,10753.38207936,8810.39723026,8810.39723026,8810.39723026,bvns_random,0.0
AUpdata_corrSergio_100_7425_2_100_1,16552.58793632,16552.58793632,18668.86002645,16552.58793632,16552.58793632,16552.587936320004,bvns_random,-2.197830829286332e-16
AUpdata_corrSergio_100_7425_2_100_2,20852.032806715,20852.032806715,21650.69333476,20852.032806715,20852.032806715,20852.032806715004,bvns_random,-1.7446638612232428e-16
AUpdata_corrSergio_100_7425_2_100_3,17290.996638155,17290.996638155,17579.289473365,17290.996638155,17290.996638155,17290.996638155004,bvns_random,-2.1039728843992737e-16
AUpdata_corrSergio_100_7425_3_100_1,14282.731499995,14282.731499995,15992.516975485,14282.731499995,14282.731499995,14282.731499995012,bvns_random,-8.914909465899742e-16
AUpdata_corrSergio_100_7425_3_100_2,18616.720105585,18616.720105585,20474.558029085,18616.720105585,18616.720105585,18616.72010558501,bvns_random,-5.862437829744758e-16
AUpdata_corrSergio_100_7425_3_100_3,14893.329828755,14893.329828755,15827.3358254,14893.329828755,14893.329828755,14893.329828754997,bvns_random,2.442690015544918e-16
AUpdata_corrSergio_100_7425_4_100_1,13062.084048285,13062.084048285,15834.381533775,13062.084048285,13062.084048285,13062.084048285044,bvns_random,-3.3421730807827897e-15
AUpdata_corrSergio_100_7425_4_100_2,16550.86834381,16550.86834381,17922.67712981,16550.86834381,16550.86834381,16550.86834381,bvns_random,0.0
AUpdata_corrSergio_100_7425_4_100_3,13309.209942295,13309.209942295,14358.99260354,13309.209942295,13309.209942295,13309.209942295005,bvns_random,-4.100144361909873e-16
AUpdata_corrSergio_100_7425_5_100_1,11831.381562595,11831.381562595,14748.66168833,11831.381562595,11831.381562595,11831.381562595261,bvns_random,-2.2138959235217747e-14
AUpdata_corrSergio_100_7425_5_100_2,15172.827987135,15172.827987135,16527.77900825,15172.827987135,15172.827987135,15172.827987134999,bvns_random,1.198846652112693e-16
AUpdata_corrSergio_100_7425_5_100_3,12330.267613615,12330.267613615,13879.795687165,12330.267613615,12330.267613615,12330.267613615002,bvns_random,-1.4752229720767293e-16
AUpdata_randomSergio_100_2475_10_100_1,218654.590884825,224913.773508855,340147.112738515,218654.590884825,218654.590884825,218654.59088482498,bvns_random,1.3310413624959731e-16
AUpdata_randomSergio_100_2475_10_100_2,222490.04781266,222490.04781266,374467.477126985,222490.04781266,222490.04781266,222490.04781266,bvns_random,0.0
AUpdata_randomSergio_100_2475_10_100_3,249307.17027844,249307.17027844,371921.50478873,249307.17027844,249307.17027844,249307.17027844,bvns_random,0.0
