Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_ca_20_100_2_100_1,14052.9505437049,14052.9505437049,17448.026896393,14052.9505437049,14052.9505437049,14052.950543704901,bvns_random,-1.294382555384914e-16
AUpdata_ta_ca_20_100_2_100_2,17456.764758183,17456.764758183,17456.764758183,17456.764758183,17456.764758183,17456.764758183,bvns_random,0.0
AUpdata_ta_ca_20_100_2_100_3,20291.121085581,20291.121085581,21321.126397722,20291.121085581,20291.121085581,20291.121085581002,bvns_random,-1.7928919707038186e-16
AUpdata_ta_ca_20_100_2_100_4,12466.4316395655,12466.4316395655,12466.4316395655,12466.4316395655,12466.4316395655,12466.431639565502,bvns_random,-1.4591099170453996e-16
AUpdata_ta_ca_20_100_2_100_5,19299.8541684535,19299.8541684535,19299.8541684535,19299.8541684535,19299.8541684535,19299.8541684535,bvns_random,0.0
AUpdata_ta_ca_20_100_2_50_1,20822.8205543586,20822.8205543586,20822.8205543586,20822.8205543586,20822.8205543586,20822.820554358554,bvns_random,2.271244876203523e-15
AUpdata_ta_ca_20_100_2_50_2,14314.8025939052,14314.8025939052,17510.3913315182,14314.8025939052,14314.8025939052,14314.8025939052,bvns_random,0.0
AUpdata_ta_ca_20_100_2_50_3,21521.464510571,21521.464510571,25900.9619005133,21521.464510571,21521.464510571,21521.464510570997,bvns_random,1.6903955608154808e-16
AUpdata_ta_ca_20_100_2_50_4,12973.4443787167,12973.4443787167,15887.934367619,14026.9525252069,12973.4443787167,12973.4443787167,bvns_random,0.0
AUpdata_ta_ca_20_100_2_50_5,14563.2800254334,16318.2103438734,16318.2103438734,16318.2103438734,14563.2800254334,14563.280025433398,bvns_random,1.249024533188377e-16
AUpdata_ta_ca_20_100_3_100_1,9622.9905488547,9622.9905488547,12252.0542811404,9622.9905488547,9622.9905488547,9622.9905488547,bvns_random,0.0
AUpdata_ta_ca_20_100_3_100_2,8657.1922720003,8657.1922720003,8657.1922720003,8657.1922720003,8657.1922720003,8657.192272000299,bvns_random,2.1011308821555925e-16
AUpdata_ta_ca_20_100_3_100_3,11731.4309044646,11731.4309044646,12451.1886354295,11731.4309044646,11731.4309044646,11731.430904464549,bvns_random,4.341474089056029e-15
AUpdata_ta_ca_20_100_3_100_4,12682.2817698933,12682.2817698933,14866.1480762904,12682.2817698933,12682.2817698933,12682.281769893301,bvns_random,-1.4342761314955076e-16
AUpdata_ta_ca_20_100_3_100_5,15324.5045145922,15324.5045145922,21408.4314127554,15324.5045145922,15324.5045145922,15324.504514592203,bvns_random,-2.3739617836436926e-16
AUpdata_ta_ca_20_100_3_50_1,17170.4844597015,17170.4844597015,17964.040532949,17170.4844597015,17170.4844597015,17170.484459701507,bvns_random,-4.237479513906454e-16
AUpdata_ta_ca_20_100_3_50_2,11861.6471678267,11861.6471678267,11861.6471678267,11861.6471678267,11861.6471678267,11861.64716782675,bvns_random,-4.140463225794667e-15
AUpdata_ta_ca_20_100_3_50_3,12080.470170712,12080.470170712,15480.842939019,12080.470170712,12080.470170712,12080.470170711998,bvns_random,1.5057273250471914e-16
AUpdata_ta_ca_20_100_3_50_4,16176.1353979658,17590.300446208,18072.8429999858,17590.300446208,16176.1353979658,16176.135397965802,bvns_random,-1.12448947711862e-16
AUpdata_ta_ca_20_100_3_50_5,10829.8085874375,10829.8085874375,12494.9165521813,10829.8085874375,10829.8085874375,10829.808587437481,bvns_random,1.6796136227706501e-15
AUpdata_ta_ca_20_100_4_100_1,12000.507592334,12000.507592334,13490.8318035615,12000.507592334,10511.0014499216,10511.001449921652,salazar,-5.018617203522794e-15
AUpdata_ta_ca_20_100_4_100_2,8885.9124865445,8885.9124865445,10543.4580926835,8885.9124865445,8885.9124865445,8885.9124865445,bvns_random,0.0
AUpdata_ta_ca_20_100_4_100_3,9300.020425396,9300.020425396,11703.5942945885,9300.020425396,9300.020425396,9300.020425396,bvns_random,0.0
