Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_200_19900_10_100_1,25393.799605975,17.2104801,25393.79960597501,2829.415345523,-4.297874516859286e-16,1
AUpdata_corrSergio_200_19900_10_100_2,26891.378759235,18.009344,26891.378759235013,2154.665988218,-4.058526161484779e-16,1
AUpdata_corrSergio_200_19900_10_100_3,28194.339639885,17.1430152,28194.33963988501,2315.104082554,-2.58064480570083e-16,1
AUpdata_corrSergio_200_19900_2_100_1,40375.96342249,1.7485605,40375.96342249,470.563687508,0.0,1
AUpdata_corrSergio_200_19900_2_100_2,45119.060538355,1.6954034,45119.060538355,771.857343177,0.0,1
AUpdata_corrSergio_200_19900_2_100_3,47980.88825656,1.7441096,47980.88825655997,3600.037229264,6.065713144181864e-16,1
AUpdata_corrSergio_200_19900_3_100_1,36889.949437215,2.9197359,36889.949437215015,1770.793109231,-3.944682887986479e-16,1
AUpdata_corrSergio_200_19900_3_100_2,40095.134614985,2.8215028,40095.13461498498,2237.575185093,5.444020341159405e-16,1
AUpdata_corrSergio_200_19900_3_100_3,42542.86328963,3.3110497,42542.86328963,3600.0,0.0,1
AUpdata_corrSergio_200_19900_4_100_1,34227.05078753,5.7661638,34227.05078753001,3600.0,-2.1257915732647015e-16,1
AUpdata_corrSergio_200_19900_4_100_2,36665.58513028,4.4244134,36665.58513027999,794.6131844,1.9844106096576738e-16,1
AUpdata_corrSergio_200_19900_4_100_3,39230.40008288,4.4876247,39230.40008287999,3361.272236944,1.8546733142695193e-16,1
AUpdata_corrSergio_200_19900_5_100_1,31939.48462699,5.8190337,31939.48462699001,3600.0,-3.4170671658403875e-16,1
AUpdata_corrSergio_200_19900_5_100_2,34545.88333662,6.5260161,34545.88333662,2134.598300831,0.0,1
AUpdata_corrSergio_200_19900_5_100_3,36673.67394576,6.4267385,36673.67394576,2374.612386958,0.0,1
AUpdata_corrSergio_200_29850_10_100_1,22760.91719867,16.965407,22760.917198669995,2335.240783662,1.5983445549831768e-16,1
AUpdata_corrSergio_200_29850_10_100_2,20658.456707785,23.5780332,20658.456707784997,2353.694248913,1.7610118986868782e-16,1
AUpdata_corrSergio_200_29850_10_100_3,20677.318485265,28.5615731,20677.318485264994,2898.616668815,3.518811019605079e-16,1
AUpdata_corrSergio_200_29850_2_100_1,37303.65126831,1.7499842,37985.2687,3600.0,-0.017944257208584644,1
AUpdata_corrSergio_200_29850_2_100_2,36111.243895775,3.2658133,37023.7091,3600.0,-0.024645429277776004,1
AUpdata_corrSergio_200_29850_2_100_3,33891.01568136,3.1032195,33891.0157,3600.0,-5.499984646770204e-10,1
AUpdata_corrSergio_200_29850_3_100_1,34143.38923279,3.038974,34051.621910899994,3347.199041455,0.0026949471637541626,0
AUpdata_corrSergio_200_29850_3_100_2,31685.65060797,4.8803191,31685.65060797001,3600.0,-2.2962942134927405e-16,1
AUpdata_corrSergio_200_29850_3_100_3,30381.293897655,3.4870243,30381.293897654967,3600.0,1.0776963408511265e-15,1
AUpdata_corrSergio_200_29850_4_100_1,31200.919798105,8.1149114,31200.919798104987,3600.0,3.4979534231353033e-16,1
AUpdata_corrSergio_200_29850_4_100_2,28921.602620385,6.0811985,28921.602620385012,3582.490603823,-3.773627818806484e-16,1
AUpdata_corrSergio_200_29850_4_100_3,27973.043759075,4.227031,27973.043759074983,3582.314457941,6.502650977892751e-16,1
AUpdata_corrSergio_200_29850_5_100_1,29450.5434422,5.9025377,29450.54344219999,3600.0,3.705852302078897e-16,1
AUpdata_corrSergio_200_29850_5_100_2,26871.936027905,10.6507228,26871.936027904998,2769.066948148,1.35382087963959e-16,1
AUpdata_corrSergio_200_29850_5_100_3,26392.277666635,7.452632,26392.277666635455,3451.355366106,-1.7230318528413554e-14,1
AUpdata_corrSergio_200_9950_10_100_1,39256.737739135,17.7093618,39256.737739134995,511.891350855,1.8534289992543198e-16,1
AUpdata_corrSergio_200_9950_10_100_2,43331.723507995,16.7691095,43331.723507995026,425.042738115,-6.716518084346179e-16,1
AUpdata_corrSergio_200_9950_10_100_3,42389.249534105,15.5170334,42389.24953410502,341.836180028,-5.149388838551689e-16,1
AUpdata_corrSergio_200_9950_2_100_1,68155.219611195,1.8984261,68155.219611195,1111.027688127,0.0,1
AUpdata_corrSergio_200_9950_2_100_2,70337.13598434,1.7474891,70337.13598433998,545.132321471,2.0688808301217615e-16,1
AUpdata_corrSergio_200_9950_2_100_3,66395.000141525,1.6821973,66395.000141525,45.913460359,0.0,1
AUpdata_corrSergio_200_9950_3_100_1,60963.87492499,3.4796592,60963.87492498998,3332.51682517,3.5804602101502437e-16,1
AUpdata_corrSergio_200_9950_3_100_2,64316.01173021,2.9318998,64316.01173021002,1411.10956362,-3.393847388129861e-16,1
AUpdata_corrSergio_200_9950_3_100_3,61865.52047372,2.8116117,61865.52047372001,451.194221319,-2.3521850486246844e-16,1
