Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_ca_60_100_2_100_1,154048.896146619,154048.896146619,178425.074519139,154048.896146619,154048.896146619,154048.89614661894,bvns_random,3.7785185333666507e-16
AUpdata_ta_ca_60_100_2_100_2,193282.125583337,198178.874644064,229446.908421445,198178.874644064,193282.125583337,193282.1255833367,bvns_random,1.6563463075432515e-15
AUpdata_ta_ca_60_100_2_100_3,153578.669971454,153578.669971454,153578.669971454,153578.669971454,153578.669971454,153578.66997145387,bvns_random,7.58017515378752e-16
AUpdata_ta_ca_60_100_2_100_4,156434.435138357,156434.435138357,179320.537353745,156434.435138357,156434.435138357,156434.43513835708,bvns_random,-5.581347309687872e-16
AUpdata_ta_ca_60_100_2_100_5,150561.821352436,153833.212859405,181596.288095728,153833.212859405,150561.821352436,150561.82135243563,bvns_random,2.512919892566228e-15
AUpdata_ta_ca_60_100_2_50_1,153389.384330265,153389.384330265,171155.359227346,153389.384330265,153389.384330265,153389.384330265,bvns_random,0.0
AUpdata_ta_ca_60_100_2_50_2,154956.647991252,154956.647991252,182455.999616549,154956.647991252,154956.647991252,154956.64799125172,bvns_random,1.6903726139287111e-15
AUpdata_ta_ca_60_100_2_50_3,228216.809843584,228216.809843584,245092.536057313,228216.809843584,228216.809843584,228216.80984358414,bvns_random,-6.376355553449583e-16
AUpdata_ta_ca_60_100_2_50_4,139758.943244454,140831.695734001,167382.590978674,140831.695734001,139758.943244454,139758.94324445407,bvns_random,-4.164861264846263e-16
AUpdata_ta_ca_60_100_2_50_5,153583.863256884,153814.667234057,159831.423971987,159831.423971987,153583.863256884,153583.86325688357,bvns_random,2.8424695641417863e-15
AUpdata_ta_ca_60_100_3_100_1,124966.397376171,124966.397376171,146397.268337416,124966.397376171,124966.397376171,124966.39737617056,bvns_random,3.4933987537217047e-15
AUpdata_ta_ca_60_100_3_100_2,136478.532474293,136478.532474293,148996.731239939,136478.532474293,136478.532474293,136478.53247429302,bvns_random,-2.1324841298550506e-16
AUpdata_ta_ca_60_100_3_100_3,138615.114649523,138615.114649523,149840.241330808,138615.114649523,138615.114649523,138615.1146495228,bvns_random,1.4697301496466878e-15
AUpdata_ta_ca_60_100_3_100_4,119663.959826428,119663.959826428,142783.338002178,119663.959826428,119663.959826428,119663.95982642831,bvns_random,-2.553736482053245e-15
AUpdata_ta_ca_60_100_3_100_5,108182.584037989,108182.584037989,124824.848763541,108182.584037989,108182.584037989,108182.58403798925,bvns_random,-2.286713347458644e-15
AUpdata_ta_ca_60_100_3_50_1,122490.034258205,122490.034258205,133125.326660445,122490.034258205,122490.034258205,122490.0342582046,bvns_random,3.3264226666422037e-15
AUpdata_ta_ca_60_100_3_50_2,157507.941514636,157507.941514636,163158.768401239,157507.941514636,157507.941514636,157507.9415146358,bvns_random,1.2934383576983349e-15
AUpdata_ta_ca_60_100_3_50_3,138243.935791715,138243.935791715,150287.138239916,138243.935791715,138243.935791715,138243.9357917149,bvns_random,6.315755614897198e-16
