Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_500_124750_10_100_1,85894.02092333,0.9585114,,,,
AUpdata_corrSergio_500_124750_10_100_2,89172.308049075,0.9757946,,,,
AUpdata_corrSergio_500_124750_10_100_3,92978.49072517,0.9833366,,,,
AUpdata_corrSergio_500_124750_2_100_1,113143.668795905,0.209002,,,,
AUpdata_corrSergio_500_124750_2_100_2,123917.263833785,0.2030535,,,,
AUpdata_corrSergio_500_124750_2_100_3,116231.79104071,0.2240586,,,,
AUpdata_corrSergio_500_124750_3_100_1,102022.29586217,0.2998402,,,,
AUpdata_corrSergio_500_124750_3_100_2,113478.169281795,0.3139255,,,,
AUpdata_corrSergio_500_124750_3_100_3,109057.33055417,0.3182443,,,,
AUpdata_corrSergio_500_124750_4_100_1,104013.065286685,0.3787119,,,,
AUpdata_corrSergio_500_124750_4_100_2,111028.896075715,0.3927144,,,,
AUpdata_corrSergio_500_124750_4_100_3,100859.309875055,0.4008696,,,,
AUpdata_corrSergio_500_124750_5_100_1,99095.7208873751,0.4726846,,,,
AUpdata_corrSergio_500_124750_5_100_2,101931.185484815,0.4972116,,,,
AUpdata_corrSergio_500_124750_5_100_3,106321.43999536,0.5038775,,,,
AUpdata_corrSergio_500_187125_10_100_1,82025.264288125,0.9878475,,,,
AUpdata_corrSergio_500_187125_10_100_2,81471.3724070951,0.8999805,,,,
AUpdata_corrSergio_500_187125_10_100_3,79947.750644895,0.8922039,,,,
AUpdata_corrSergio_500_187125_2_100_1,110079.456910445,0.2002065,,,,
AUpdata_corrSergio_500_187125_2_100_2,109119.59424338,0.2143362,,,,
AUpdata_corrSergio_500_187125_2_100_3,101199.20461785,0.2177206,,,,
AUpdata_corrSergio_500_187125_3_100_1,102222.803375895,0.2906833,,,,
AUpdata_corrSergio_500_187125_3_100_2,94594.7665795801,0.2938682,,,,
AUpdata_corrSergio_500_187125_3_100_3,101734.071647025,0.2801695,,,,
AUpdata_corrSergio_500_187125_4_100_1,97751.31200068,0.4166484,,,,
AUpdata_corrSergio_500_187125_4_100_2,98327.7485033149,0.3755285,,,,
AUpdata_corrSergio_500_187125_4_100_3,90158.187145435,0.3716771,,,,
AUpdata_corrSergio_500_187125_5_100_1,93425.2869261301,0.4814837,,,,
AUpdata_corrSergio_500_187125_5_100_2,91770.8609837,0.4724201,,,,
AUpdata_corrSergio_500_187125_5_100_3,93754.9291788849,0.4927021,,,,
AUpdata_corrSergio_500_62375_10_100_1,117506.677061875,0.9112511,,,,
AUpdata_corrSergio_500_62375_10_100_2,118897.60015648,0.884806,,,,
AUpdata_corrSergio_500_62375_10_100_3,115361.35866302,0.8849966,,,,
AUpdata_corrSergio_500_62375_2_100_1,147044.23946054,0.2017129,,,,
AUpdata_corrSergio_500_62375_2_100_2,154777.42495786,0.2222741,,,,
AUpdata_corrSergio_500_62375_2_100_3,157579.089619695,0.1929226,,,,
AUpdata_corrSergio_500_62375_3_100_1,135169.77647142,0.2892042,,,,
AUpdata_corrSergio_500_62375_3_100_2,142919.90099754,0.2936989,,,,
AUpdata_corrSergio_500_62375_3_100_3,141914.43609778,0.2858929,,,,
AUpdata_corrSergio_500_62375_4_100_1,135994.71210567,0.3805844,,,,
AUpdata_corrSergio_500_62375_4_100_2,134160.16646741,0.3773288,,,,
AUpdata_corrSergio_500_62375_4_100_3,143732.446053355,0.3623674,,,,
AUpdata_corrSergio_500_62375_5_100_1,124999.838676085,0.4676274,,,,
AUpdata_corrSergio_500_62375_5_100_2,131183.649924605,0.4940136,,,,
AUpdata_corrSergio_500_62375_5_100_3,144379.95602248,0.4533698,,,,
AUpdata_randomSergio_500_124750_10_100_1,3272864.33475314,0.9388442,,,,
AUpdata_randomSergio_500_124750_10_100_2,4140849.80338845,0.9351377,,,,
AUpdata_randomSergio_500_124750_10_100_3,3890063.72901828,0.9513414,,,,
AUpdata_randomSergio_500_124750_2_100_1,4330341.42354654,0.1946703,,,,
AUpdata_randomSergio_500_124750_2_100_2,5473258.60679776,0.2123289,,,,
AUpdata_randomSergio_500_124750_2_100_3,5166849.82790606,0.2159396,,,,
AUpdata_randomSergio_500_124750_3_100_1,4095986.95368693,0.2858217,,,,
AUpdata_randomSergio_500_124750_3_100_2,4536653.87787437,0.3009351,,,,
AUpdata_randomSergio_500_124750_3_100_3,4638692.72984243,0.3222649,,,,
AUpdata_randomSergio_500_124750_4_100_1,3922341.4713203,0.3750431,,,,
AUpdata_randomSergio_500_124750_4_100_2,4492173.23856643,0.3883738,,,,
AUpdata_randomSergio_500_124750_4_100_3,4583028.92205774,0.3986385,,,,
AUpdata_randomSergio_500_124750_5_100_1,3774518.87459047,0.483771,,,,
AUpdata_randomSergio_500_124750_5_100_2,4088289.77771061,0.481809,,,,
AUpdata_randomSergio_500_124750_5_100_3,4074540.32292218,0.4977459,,,,
AUpdata_randomSergio_500_187125_10_100_1,3587254.91868259,0.9449413,,,,
AUpdata_randomSergio_500_187125_10_100_2,3758561.27830126,0.8874595,,,,
AUpdata_randomSergio_500_187125_10_100_3,3509166.05138389,0.912261,,,,
AUpdata_randomSergio_500_187125_2_100_1,4776359.85073619,0.20036,,,,
AUpdata_randomSergio_500_187125_2_100_2,4784664.08563554,0.2062657,,,,
AUpdata_randomSergio_500_187125_2_100_3,4040440.28981109,0.1960523,,,,
AUpdata_randomSergio_500_187125_3_100_1,4065748.86097282,0.2953789,,,,
AUpdata_randomSergio_500_187125_3_100_2,4395854.18182847,0.2785005,,,,
AUpdata_randomSergio_500_187125_3_100_3,3913671.14137928,0.3083139,,,,
AUpdata_randomSergio_500_187125_4_100_1,4054038.77409612,0.3790606,,,,
AUpdata_randomSergio_500_187125_4_100_2,4556436.0762027,0.3673316,,,,
AUpdata_randomSergio_500_187125_4_100_3,3762477.80157517,0.409146,,,,
AUpdata_randomSergio_500_187125_5_100_1,3879536.35650962,0.4711949,,,,
AUpdata_randomSergio_500_187125_5_100_2,4212078.92243545,0.4624881,,,,
AUpdata_randomSergio_500_187125_5_100_3,3958810.38006469,0.4845047,,,,
AUpdata_randomSergio_500_62375_10_100_1,3613530.37930692,0.9285439,,,,
AUpdata_randomSergio_500_62375_10_100_2,3576886.10152083,0.9292302,,,,
AUpdata_randomSergio_500_62375_10_100_3,3509737.5537164,0.9602237,,,,
AUpdata_randomSergio_500_62375_2_100_1,4061665.64000879,0.2040791,,,,
AUpdata_randomSergio_500_62375_2_100_2,4816713.49981651,0.1961172,,,,
AUpdata_randomSergio_500_62375_2_100_3,4520009.02036427,0.2022755,,,,
AUpdata_randomSergio_500_62375_3_100_1,4435103.84749201,0.3109639,,,,
AUpdata_randomSergio_500_62375_3_100_2,4581356.92894155,0.2919674,,,,
AUpdata_randomSergio_500_62375_3_100_3,4237413.58311431,0.3100114,,,,
AUpdata_randomSergio_500_62375_4_100_1,4117389.54936395,0.3791147,,,,
AUpdata_randomSergio_500_62375_4_100_2,4266316.90298939,0.4016907,,,,
AUpdata_randomSergio_500_62375_4_100_3,4316951.67485834,0.3741621,,,,
AUpdata_randomSergio_500_62375_5_100_1,3853957.30161195,0.4686774,,,,
AUpdata_randomSergio_500_62375_5_100_2,4550844.36612027,0.4632822,,,,
AUpdata_randomSergio_500_62375_5_100_3,3891542.75028728,0.4882801,,,,
