Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_ca_40_100_2_100_1,67920.7955379048,67920.7955379048,73215.919658597,67920.7955379048,67920.7955379048,67920.7955379048,bvns_random,0.0
AUpdata_ta_ca_40_100_2_100_2,66388.5904524058,66388.5904524058,66859.1500207708,66859.1500207708,66388.5904524058,66388.59045240578,bvns_random,2.1919301387787666e-16
AUpdata_ta_ca_40_100_2_100_3,71268.436980246,71268.436980246,73635.0693180215,71268.436980246,71268.436980246,71268.43698024598,bvns_random,2.0418457096793518e-16
AUpdata_ta_ca_40_100_2_100_4,52726.9430105319,52726.9430105319,52726.9430105319,52726.9430105319,52726.9430105319,52726.9430105319,bvns_random,0.0
AUpdata_ta_ca_40_100_2_100_5,68233.3921503506,68233.3921503506,76380.7694639202,68233.3921503506,68233.3921503506,68233.39215035061,bvns_random,-2.1326677114779905e-16
AUpdata_ta_ca_40_100_2_50_1,57549.0082936913,57549.0082936913,59673.3626963914,57549.0082936913,57549.0082936913,57549.00829369131,bvns_random,-1.2643063416578524e-16
AUpdata_ta_ca_40_100_2_50_2,77664.8307146204,77664.8307146204,77664.8307146204,77664.8307146204,77664.8307146204,77664.83071462033,bvns_random,9.368407227872492e-16
AUpdata_ta_ca_40_100_2_50_3,86040.8021267715,86040.8021267715,86040.8021267715,86040.8021267715,86040.8021267715,86040.80212677151,bvns_random,-1.691280749210849e-16
AUpdata_ta_ca_40_100_2_50_4,73988.7745781863,77183.0611984463,77183.0611984463,77183.0611984463,73988.7745781863,73988.77457818629,bvns_random,1.9667733803307392e-16
AUpdata_ta_ca_40_100_2_50_5,73724.5290343684,73724.5290343684,73724.5290343684,73724.5290343684,73724.5290343684,73724.52903436842,bvns_random,-1.973822745152178e-16
AUpdata_ta_ca_40_100_3_100_1,66323.437078297,66323.437078297,78825.9042009525,66323.437078297,66323.437078297,66323.43707829699,bvns_random,2.194083399385324e-16
AUpdata_ta_ca_40_100_3_100_2,62332.2581292493,62332.2581292493,76504.627863144,62332.2581292493,62332.2581292493,62332.25812924929,bvns_random,1.1672860622338334e-16
AUpdata_ta_ca_40_100_3_100_3,49283.487917848,49283.487917848,49283.487917848,49283.487917848,49283.487917848,49283.48791784799,bvns_random,1.476347945647013e-16
AUpdata_ta_ca_40_100_3_100_4,41343.0846930415,41343.0846930415,42721.598680062,41343.0846930415,41343.0846930415,41343.08469304155,bvns_random,-1.2319279917653627e-15
AUpdata_ta_ca_40_100_3_100_5,58919.2673370579,58919.2673370579,58919.2673370579,58919.2673370579,58919.2673370579,58919.267337057914,bvns_random,-2.4698058692957075e-16
AUpdata_ta_ca_40_100_3_50_1,60563.1671526814,60563.1671526814,66916.4299964732,63514.5156121507,60563.1671526814,60563.167152681344,bvns_random,9.611066205755777e-16
AUpdata_ta_ca_40_100_3_50_2,67806.9955190925,70764.360534504,75573.2418735789,70764.360534504,67806.9955190925,67806.9955190925,bvns_random,0.0
AUpdata_ta_ca_40_100_3_50_3,57450.7939286934,62343.8572062331,63312.0341056276,62343.8572062331,57450.7939286934,57450.79392869335,bvns_random,8.865274057395844e-16
AUpdata_ta_ca_40_100_3_50_4,66943.0928075829,67975.5149383647,77296.0767114903,67975.5149383647,66943.0928075829,66943.09280758291,bvns_random,-2.1737739650293685e-16
AUpdata_ta_ca_40_100_3_50_5,53087.7187157532,53087.7187157532,59533.5042241226,53087.7187157532,53087.7187157532,53087.7187157532,bvns_random,0.0
AUpdata_ta_ca_40_100_4_100_1,45519.7660222557,45519.7660222557,51502.5931889255,45519.7660222557,45519.7660222557,45519.766022255695,bvns_random,1.5984171822469467e-16
AUpdata_ta_ca_40_100_4_100_2,43448.8120733712,43448.8120733712,54972.9626150041,43448.8120733712,42707.8412550204,42707.84125502035,salazar,1.192560939691535e-15
AUpdata_ta_ca_40_100_4_100_3,39418.1645119468,39418.1645119468,44614.2487916384,39418.1645119468,39418.1645119468,39418.164511946794,bvns_random,1.8458387660283473e-16
AUpdata_ta_ca_40_100_4_100_4,42251.8859336812,42251.8859336812,45733.8241509595,43761.9986668628,42251.8859336812,42251.88593368124,bvns_random,-8.610216388451635e-16
AUpdata_ta_ca_40_100_4_100_5,63241.2130935845,63241.2130935845,83058.5779505456,63241.2130935845,63241.2130935845,63241.21309358449,bvns_random,1.1505088625381755e-16
AUpdata_ta_ca_40_100_4_50_1,44657.2774036931,44657.2774036931,54755.6714175325,50335.3213758524,44657.2774036931,44657.27740369311,bvns_random,-1.629288222927292e-16
AUpdata_ta_ca_40_100_4_50_2,43587.3461246647,43587.3461246647,51903.1921876988,43587.3461246647,43587.3461246647,43587.34612466475,bvns_random,-1.1684974614791537e-15
AUpdata_ta_ca_40_100_4_50_3,37659.3399402281,37659.3399402281,48294.4497514725,37659.3399402281,37659.3399402281,37659.33994022809,bvns_random,1.932045974712152e-16
AUpdata_ta_ca_40_100_4_50_4,50810.8155983808,50810.8155983808,54593.5026324356,52034.1839959262,50810.8155983808,50810.81559838081,bvns_random,-1.4319702465896432e-16
AUpdata_ta_ca_40_100_4_50_5,44774.8581071383,44774.8581071383,63134.6047241269,44774.8581071383,44774.8581071383,44774.85810713826,bvns_random,9.75005785180606e-16
AUpdata_ta_ca_40_100_5_100_1,38613.8943323467,38613.8943323467,41104.9397490489,38613.8943323467,38613.8943323467,38613.894332346696,bvns_random,1.884284851343882e-16
AUpdata_ta_ca_40_100_5_100_2,35637.0218399372,35637.0218399372,40925.0971741098,35637.0218399372,35637.0218399372,35637.02183993716,bvns_random,1.2250110539870393e-15
