Instancia,F(S),Tiempo,SOTA_FS,SOTA_Tiempo,Dev,isBest?
AUpdata_corrSergio_500_124750_10_100_1,75451.112494635,17.7504719,,,,
AUpdata_corrSergio_500_124750_10_100_2,78412.10640961,29.2903877,,,,
AUpdata_corrSergio_500_124750_10_100_3,76358.722956635,20.4866583,,,,
AUpdata_corrSergio_500_124750_2_100_1,106220.73444446,4.528495,,,,
AUpdata_corrSergio_500_124750_2_100_2,113346.251578745,4.6632169,,,,
AUpdata_corrSergio_500_124750_2_100_3,110333.1089701,4.6386761,,,,
AUpdata_corrSergio_500_124750_3_100_1,98773.698424065,7.1664772,,,,
AUpdata_corrSergio_500_124750_3_100_2,105368.56796457,6.4402427,,,,
AUpdata_corrSergio_500_124750_3_100_3,101153.48176414,6.8281086,,,,
AUpdata_corrSergio_500_124750_4_100_1,93477.215007875,8.10901,,,,
AUpdata_corrSergio_500_124750_4_100_2,98853.672268235,7.944691,,,,
AUpdata_corrSergio_500_124750_4_100_3,95056.352761245,7.9314249,,,,
AUpdata_corrSergio_500_124750_5_100_1,88735.888862585,9.37405,,,,
AUpdata_corrSergio_500_124750_5_100_2,94091.651787225,8.597147,,,,
AUpdata_corrSergio_500_124750_5_100_3,91005.24280491,10.4733502,,,,
AUpdata_corrSergio_500_187125_10_100_1,71334.74346819,19.6874785,,,,
AUpdata_corrSergio_500_187125_10_100_2,69729.3830084,17.8148517,,,,
AUpdata_corrSergio_500_187125_10_100_3,69651.067212155,16.3132221,,,,
AUpdata_corrSergio_500_187125_2_100_1,100950.344688655,4.3983089,,,,
AUpdata_corrSergio_500_187125_2_100_2,99999.10929414,4.4970878,,,,
AUpdata_corrSergio_500_187125_2_100_3,98874.1418654,4.4071984,,,,
AUpdata_corrSergio_500_187125_3_100_1,93612.30417184,7.0042756,,,,
AUpdata_corrSergio_500_187125_3_100_2,92119.9504484501,5.8179032,,,,
AUpdata_corrSergio_500_187125_3_100_3,90799.6700219449,5.5832466,,,,
AUpdata_corrSergio_500_187125_4_100_1,89106.671781855,7.9209164,,,,
AUpdata_corrSergio_500_187125_4_100_2,87608.1624212151,8.3743325,,,,
AUpdata_corrSergio_500_187125_4_100_3,85522.021049355,7.8328586,,,,
AUpdata_corrSergio_500_187125_5_100_1,84616.16332019,10.5436095,,,,
AUpdata_corrSergio_500_187125_5_100_2,82813.0675663451,8.4041917,,,,
AUpdata_corrSergio_500_187125_5_100_3,81432.90755221,8.4263112,,,,
AUpdata_corrSergio_500_62375_10_100_1,98922.616146715,16.5219608,,,,
AUpdata_corrSergio_500_62375_10_100_2,100833.47914264,16.0720377,,,,
AUpdata_corrSergio_500_62375_10_100_3,102444.485652105,18.3810995,,,,
AUpdata_corrSergio_500_62375_2_100_1,139217.916145955,4.6512507,,,,
AUpdata_corrSergio_500_62375_2_100_2,141258.13336015,4.3877272,,,,
AUpdata_corrSergio_500_62375_2_100_3,143128.9377668,4.4024399,,,,
AUpdata_corrSergio_500_62375_3_100_1,129509.38267576,5.8771142,,,,
AUpdata_corrSergio_500_62375_3_100_2,131523.708910075,5.6632964,,,,
AUpdata_corrSergio_500_62375_3_100_3,132936.864587615,5.6692219,,,,
AUpdata_corrSergio_500_62375_4_100_1,122855.69090042,7.0556329,,,,
AUpdata_corrSergio_500_62375_4_100_2,124230.26751744,6.9477428,,,,
AUpdata_corrSergio_500_62375_4_100_3,125262.466951035,7.3471742,,,,
AUpdata_corrSergio_500_62375_5_100_1,117530.489439325,8.5498168,,,,
AUpdata_corrSergio_500_62375_5_100_2,119329.145869935,9.7415783,,,,
AUpdata_corrSergio_500_62375_5_100_3,118742.233483145,8.2772707,,,,
