Instancia,Tipo,n,n_seeds,F_media,F_desvio,F_melhor,F_pior,SOTA,Dev_media,Dev_melhor
AUpdata_corrSergio_100_2475_10_100_1,P,100,10,23748.870334715,0.0,23748.870334715,23748.870334715,23748.870334715004,-1.5318534127384927e-16,-1.5318534127384927e-16
AUpdata_corrSergio_100_2475_10_100_2,P,100,10,24500.55321986,0.0,24500.55321986,24500.55321986,24500.553219859994,2.969711560751853e-16,2.969711560751853e-16
AUpdata_corrSergio_100_2475_10_100_3,P,100,10,28076.309429,0.0,28076.309429,28076.309429,28076.309428999997,1.295746799019834e-16,1.295746799019834e-16
AUpdata_corrSergio_100_2475_2_100_1,P,100,10,48203.25973393,0.0,48203.25973393,48203.25973393,48203.25973392999,1.5094326927981434e-16,1.5094326927981434e-16
AUpdata_corrSergio_100_2475_2_100_2,P,100,10,46625.356857105,0.0,46625.356857105,46625.356857105,46625.35685710501,-3.121030316821984e-16,-3.121030316821984e-16
AUpdata_corrSergio_100_2475_2_100_3,P,100,10,55140.785456655,0.0,55140.785456655,55140.785456655,55140.785456655,0.0,0.0
AUpdata_corrSergio_100_2475_3_100_1,P,100,10,43409.921649165,0.0,43409.921649165,43409.921649165,43409.92164916502,-5.028314268558495e-16,-5.028314268558495e-16
AUpdata_corrSergio_100_2475_3_100_2,P,100,10,41767.76998289,0.0,41767.76998289,41767.76998289,41767.76998288999,1.7420028929396983e-16,1.7420028929396983e-16
AUpdata_corrSergio_100_2475_3_100_3,P,100,10,49860.32175114,0.0,49860.32175114,49860.32175114,49860.321751139985,2.9185361660916565e-16,2.9185361660916565e-16
AUpdata_corrSergio_100_2475_4_100_1,P,100,10,39155.102936385,0.0,39155.102936385,39155.102936385,39155.102936384996,1.8582399402715452e-16,1.8582399402715452e-16
AUpdata_corrSergio_100_2475_4_100_2,P,100,10,37564.201390975,0.0,37564.201390975,37564.201390975,37564.201390974995,1.9369392519366896e-16,1.9369392519366896e-16
AUpdata_corrSergio_100_2475_4_100_3,P,100,10,45445.43807418,0.0,45445.43807418,45445.43807418,45445.43807417998,3.202062923150604e-16,3.202062923150604e-16
AUpdata_corrSergio_100_2475_5_100_1,P,100,10,35438.029295465,0.0,35438.029295465,35438.029295465,35438.029295465,0.0,0.0
AUpdata_corrSergio_100_2475_5_100_2,P,100,10,33963.35363704,0.0,33963.35363704,33963.35363704,33963.35363704,0.0,0.0
AUpdata_corrSergio_100_2475_5_100_3,P,100,10,41504.26083157,0.0,41504.26083157,41504.26083157,41504.26083157001,-3.5061256210345537e-16,-3.5061256210345537e-16
AUpdata_corrSergio_100_4950_10_100_1,P,100,10,11530.97054502,0.0,11530.97054502,11530.97054502,11530.970545020004,-3.1549632295807774e-16,-3.1549632295807774e-16
AUpdata_corrSergio_100_4950_10_100_2,P,100,10,10845.594196845,0.0,10845.594196845,10845.594196845,10845.594196845004,-3.3543379376576757e-16,-3.3543379376576757e-16
AUpdata_corrSergio_100_4950_10_100_3,P,100,10,12036.6723302815,4.131505774955803,12035.36583344,12048.430801855,12035.365833439999,0.00010855480918343725,1.511370263870031e-16
AUpdata_corrSergio_100_4950_2_100_1,P,100,10,26889.078833975,0.0,26889.078833975,26889.078833975,26889.078833975003,-1.352957767558418e-16,-1.352957767558418e-16
AUpdata_corrSergio_100_4950_2_100_2,P,100,10,23867.49279961,0.0,23867.49279961,23867.49279961,23867.49279961,0.0,0.0
AUpdata_corrSergio_100_4950_2_100_3,P,100,10,24113.139363825,0.0,24113.139363825,24113.139363825,24113.139363825012,-4.5261366662394995e-16,-4.5261366662394995e-16
AUpdata_corrSergio_100_4950_3_100_1,P,100,10,23171.537935175,0.0,23171.537935175,23171.537935175,23171.537935175,0.0,0.0
AUpdata_corrSergio_100_4950_3_100_2,P,100,10,20590.039066825,0.0,20590.039066825,20590.039066825,20590.03906682502,-8.834317398050204e-16,-8.834317398050204e-16
AUpdata_corrSergio_100_4950_3_100_3,P,100,10,21194.95385061,0.0,21194.95385061,21194.95385061,21194.95385061,0.0,0.0
AUpdata_corrSergio_100_4950_4_100_1,P,100,10,19990.31170014,0.0,19990.31170014,19990.31170014,19990.311700140002,-1.8198709763321172e-16,-1.8198709763321172e-16
AUpdata_corrSergio_100_4950_4_100_2,P,100,10,18566.27217269,0.0,18566.27217269,18566.27217269,18566.27217269001,-3.9189114252488283e-16,-3.9189114252488283e-16
AUpdata_corrSergio_100_4950_4_100_3,P,100,10,18990.04108049,0.0,18990.04108049,18990.04108049,18990.041080490006,-3.831459649478379e-16,-3.831459649478379e-16
AUpdata_corrSergio_100_4950_5_100_1,P,100,10,18071.064618215,0.0,18071.064618215,18071.064618215,18071.06461821503,-1.6105210772915954e-15,-1.6105210772915954e-15
AUpdata_corrSergio_100_4950_5_100_2,P,100,10,16965.061179845,0.0,16965.061179845,16965.061179845,16965.061179845008,-4.288789493330845e-16,-4.288789493330845e-16
AUpdata_corrSergio_100_4950_5_100_3,P,100,10,17353.374518655,0.0,17353.374518655,17353.374518655,17353.374518655008,-4.192820022619645e-16,-4.192820022619645e-16
AUpdata_corrSergio_100_7425_10_100_1,P,100,10,8390.13480972,0.0,8390.13480972,8390.13480972,8390.134809720003,-2.168009745729652e-16,-2.168009745729652e-16
AUpdata_corrSergio_100_7425_10_100_2,P,100,10,10481.92965105,0.0,10481.92965105,10481.92965105,10481.929651050003,-1.7353573856161527e-16,-1.7353573856161527e-16
AUpdata_corrSergio_100_7425_10_100_3,P,100,10,8810.39723026,0.0,8810.39723026,8810.39723026,8810.39723026,0.0,0.0
AUpdata_corrSergio_100_7425_2_100_1,P,100,10,16552.58793632,0.0,16552.58793632,16552.58793632,16552.587936320004,-2.197830829286332e-16,-2.197830829286332e-16
AUpdata_corrSergio_100_7425_2_100_2,P,100,10,20852.032806715,0.0,20852.032806715,20852.032806715,20852.032806715004,-1.7446638612232428e-16,-1.7446638612232428e-16
AUpdata_corrSergio_100_7425_2_100_3,P,100,10,17290.996638155,0.0,17290.996638155,17290.996638155,17290.996638155004,-2.1039728843992737e-16,-2.1039728843992737e-16
AUpdata_corrSergio_100_7425_3_100_1,P,100,10,14289.6450157855,21.862456537519673,14282.731499995,14351.8666579,14282.731499995012,0.00048404717196356473,-8.914909465899742e-16
AUpdata_corrSergio_100_7425_3_100_2,P,100,10,18616.720105585,0.0,18616.720105585,18616.720105585,18616.72010558501,-5.862437829744758e-16,-5.862437829744758e-16
AUpdata_corrSergio_100_7425_3_100_3,P,100,10,14893.329828755,0.0,14893.329828755,14893.329828755,14893.329828754997,2.442690015544918e-16,2.442690015544918e-16
AUpdata_corrSergio_100_7425_4_100_1,P,100,10,13062.084048285,0.0,13062.084048285,13062.084048285,13062.084048285044,-3.3421730807827897e-15,-3.3421730807827897e-15
AUpdata_corrSergio_100_7425_4_100_2,P,100,10,16550.86834381,0.0,16550.86834381,16550.86834381,16550.86834381,0.0,0.0
AUpdata_corrSergio_100_7425_4_100_3,P,100,10,13309.209942295,0.0,13309.209942295,13309.209942295,13309.209942295005,-4.100144361909873e-16,-4.100144361909873e-16
AUpdata_corrSergio_100_7425_5_100_1,P,100,10,11831.381562595,0.0,11831.381562595,11831.381562595,11831.381562595261,-2.2138959235217747e-14,-2.2138959235217747e-14
AUpdata_corrSergio_100_7425_5_100_2,P,100,10,15172.827987135,0.0,15172.827987135,15172.827987135,15172.827987134999,1.198846652112693e-16,1.198846652112693e-16
AUpdata_corrSergio_100_7425_5_100_3,P,100,10,12330.267613615,0.0,12330.267613615,12330.267613615,12330.267613615002,-1.4752229720767293e-16,-1.4752229720767293e-16
AUpdata_corrSergio_200_19900_10_100_1,P,200,10,25393.799605975,0.0,25393.799605975,25393.799605975,25393.79960597501,-4.297874516859286e-16,-4.297874516859286e-16
AUpdata_corrSergio_200_19900_10_100_2,P,200,10,26891.378759235,0.0,26891.378759235,26891.378759235,26891.378759235013,-4.058526161484779e-16,-4.058526161484779e-16
AUpdata_corrSergio_200_19900_10_100_3,P,200,10,28194.339639885,0.0,28194.339639885,28194.339639885,28194.33963988501,-2.58064480570083e-16,-2.58064480570083e-16
AUpdata_corrSergio_200_19900_2_100_1,P,200,10,40375.96342249,0.0,40375.96342249,40375.96342249,40375.96342249,0.0,0.0
