Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_corrSergio_500_124750_10_100_1,75073.394128435,75073.394128435,85894.02092333,75451.112494635,75073.394128435,,bvns_random,
AUpdata_corrSergio_500_124750_10_100_2,78412.10640961,78412.10640961,89172.308049075,78412.10640961,78329.5623131951,,salazar,
AUpdata_corrSergio_500_124750_10_100_3,76127.4916428001,76358.722956635,92978.49072517,76358.722956635,76127.4916428001,,bvns_random,
AUpdata_corrSergio_500_124750_2_100_1,106220.73444446,106220.73444446,113143.668795905,106220.73444446,106220.73444446,,bvns_random,
AUpdata_corrSergio_500_124750_2_100_2,113346.251578745,113346.251578745,123917.263833785,113346.251578745,113346.251578745,,bvns_random,
AUpdata_corrSergio_500_124750_2_100_3,110333.1089701,110333.1089701,116231.79104071,110333.1089701,110333.1089701,,bvns_random,
AUpdata_corrSergio_500_124750_3_100_1,98773.698424065,98773.698424065,102022.29586217,98773.698424065,98773.698424065,,bvns_random,
AUpdata_corrSergio_500_124750_3_100_2,105368.56796457,105368.56796457,113478.169281795,105368.56796457,105368.56796457,,bvns_random,
AUpdata_corrSergio_500_124750_3_100_3,101153.48176414,101153.48176414,109057.33055417,101153.48176414,101153.48176414,,bvns_random,
AUpdata_corrSergio_500_124750_4_100_1,93351.1720883701,93477.215007875,104013.065286685,93477.215007875,93351.1720883701,,bvns_random,
AUpdata_corrSergio_500_124750_4_100_2,98853.672268235,98853.672268235,111028.896075715,98853.672268235,98853.672268235,,bvns_random,
AUpdata_corrSergio_500_124750_4_100_3,95056.352761245,95056.352761245,100859.309875055,95056.352761245,95056.352761245,,bvns_random,
AUpdata_corrSergio_500_124750_5_100_1,88480.239151365,88480.239151365,99095.7208873751,88735.888862585,88480.239151365,,bvns_random,
AUpdata_corrSergio_500_124750_5_100_2,94091.651787225,94091.651787225,101931.185484815,94091.651787225,94091.651787225,,bvns_random,
AUpdata_corrSergio_500_124750_5_100_3,91005.24280491,91005.24280491,106321.43999536,91005.24280491,91005.24280491,,bvns_random,
AUpdata_corrSergio_500_187125_10_100_1,71334.74346819,71334.74346819,82025.264288125,71334.74346819,71510.81036526,,bvns_random,
AUpdata_corrSergio_500_187125_10_100_2,69729.3830084,69729.3830084,81471.3724070951,69729.3830084,69729.3830084,,bvns_random,
AUpdata_corrSergio_500_187125_10_100_3,69163.56518994,69163.56518994,79947.750644895,69651.067212155,69163.56518994,,bvns_random,
AUpdata_corrSergio_500_187125_2_100_1,100950.344688655,100950.344688655,110079.456910445,100950.344688655,100950.344688655,,bvns_random,
AUpdata_corrSergio_500_187125_2_100_2,99999.10929414,99999.10929414,109119.59424338,99999.10929414,99999.10929414,,bvns_random,
AUpdata_corrSergio_500_187125_2_100_3,98874.1418654,98874.1418654,101199.20461785,98874.1418654,98874.1418654,,bvns_random,
AUpdata_corrSergio_500_187125_3_100_1,93612.30417184,93612.30417184,102222.803375895,93612.30417184,93612.30417184,,bvns_random,
AUpdata_corrSergio_500_187125_3_100_2,92119.9504484501,92119.9504484501,94594.7665795801,92119.9504484501,92119.9504484501,,bvns_random,
AUpdata_corrSergio_500_187125_3_100_3,90799.6700219449,90799.6700219449,101734.071647025,90799.6700219449,90799.6700219449,,bvns_random,
AUpdata_corrSergio_500_187125_4_100_1,89106.671781855,89106.671781855,97751.31200068,89106.671781855,89106.671781855,,bvns_random,
AUpdata_corrSergio_500_187125_4_100_2,87608.1624212151,87608.1624212151,98327.7485033149,87608.1624212151,87595.9002396251,,salazar,
AUpdata_corrSergio_500_187125_4_100_3,85522.021049355,85522.021049355,90158.187145435,85522.021049355,85522.021049355,,bvns_random,
AUpdata_corrSergio_500_187125_5_100_1,84616.16332019,84616.16332019,93425.2869261301,84616.16332019,84616.16332019,,bvns_random,
AUpdata_corrSergio_500_187125_5_100_2,82813.0675663451,82813.0675663451,91770.8609837,82813.0675663451,82813.0675663451,,bvns_random,
AUpdata_corrSergio_500_187125_5_100_3,81432.90755221,81432.90755221,93754.9291788849,81432.90755221,81432.90755221,,bvns_random,
AUpdata_corrSergio_500_62375_10_100_1,98922.616146715,98922.616146715,117506.677061875,98922.616146715,98922.616146715,,bvns_random,
AUpdata_corrSergio_500_62375_10_100_2,100644.528823535,100644.528823535,118897.60015648,100833.47914264,100644.528823535,,bvns_random,
AUpdata_corrSergio_500_62375_10_100_3,102007.28510077,102007.28510077,115361.35866302,102444.485652105,102007.28510077,,bvns_random,
AUpdata_corrSergio_500_62375_2_100_1,139217.916145955,139217.916145955,147044.23946054,139217.916145955,139217.916145955,,bvns_random,
AUpdata_corrSergio_500_62375_2_100_2,141258.13336015,141258.13336015,154777.42495786,141258.13336015,141258.13336015,,bvns_random,
AUpdata_corrSergio_500_62375_2_100_3,142450.21975506,143128.9377668,157579.089619695,143128.9377668,142450.21975506,,bvns_random,
AUpdata_corrSergio_500_62375_3_100_1,129509.38267576,129509.38267576,135169.77647142,129509.38267576,129509.38267576,,bvns_random,
AUpdata_corrSergio_500_62375_3_100_2,131523.708910075,131523.708910075,142919.90099754,131523.708910075,131523.708910075,,bvns_random,
AUpdata_corrSergio_500_62375_3_100_3,132658.150241395,132658.150241395,141914.43609778,132936.864587615,132658.150241395,,bvns_random,
AUpdata_corrSergio_500_62375_4_100_1,122855.69090042,122855.69090042,135994.71210567,122855.69090042,122855.69090042,,bvns_random,
AUpdata_corrSergio_500_62375_4_100_2,124230.26751744,124230.26751744,134160.16646741,124230.26751744,124230.26751744,,bvns_random,
AUpdata_corrSergio_500_62375_4_100_3,124834.394337385,124834.394337385,143732.446053355,125262.466951035,124834.394337385,,bvns_random,
AUpdata_corrSergio_500_62375_5_100_1,117530.489439325,117530.489439325,124999.838676085,117530.489439325,117530.489439325,,bvns_random,
AUpdata_corrSergio_500_62375_5_100_2,119329.145869935,119329.145869935,131183.649924605,119329.145869935,119329.145869935,,bvns_random,
AUpdata_corrSergio_500_62375_5_100_3,118742.233483145,120787.878919205,144379.95602248,118742.233483145,118742.233483145,,bvns_random,
AUpdata_randomSergio_500_124750_10_100_1,2525747.71693479,2514908.90006612,3272864.33475314,2525747.71693479,2514908.90006612,,bvns_greedy,
AUpdata_randomSergio_500_124750_10_100_2,2836971.04481787,2836971.04481787,4140849.80338845,2852443.74640399,2830205.45159215,,salazar,
AUpdata_randomSergio_500_124750_10_100_3,2889848.80317398,2913092.83588154,3890063.72901828,2889848.80317398,2889848.80317398,,bvns_random,
AUpdata_randomSergio_500_124750_2_100_1,3763194.2050754,3799328.61846075,4330341.42354654,3799328.61846075,3763194.2050754,,bvns_random,
AUpdata_randomSergio_500_124750_2_100_2,4381017.11204151,4381017.11204151,5473258.60679776,4389090.1445685,4381017.11204151,,bvns_random,
AUpdata_randomSergio_500_124750_2_100_3,4477469.15668134,4477469.15668134,5166849.82790606,4477469.15668134,4477469.15668134,,bvns_random,
AUpdata_randomSergio_500_124750_3_100_1,3468089.85116932,3507562.37347039,4095986.95368693,3507562.37347039,3468089.85116932,,bvns_random,
