instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\P\n=40\AUpdata_ta_cp_40_100_4_100_5.txt,AUpdata_ta_cp_40_100_4_100_5,40,4,100,bvns,42,50221.7076759763,0.1350437
instances\P\n=40\AUpdata_ta_cp_40_100_4_50_1.txt,AUpdata_ta_cp_40_100_4_50_1,40,4,50,bvns,42,46884.5516181522,0.1236291
instances\P\n=40\AUpdata_ta_cp_40_100_4_50_2.txt,AUpdata_ta_cp_40_100_4_50_2,40,4,50,bvns,42,47686.3707204445,0.1337146
instances\P\n=40\AUpdata_ta_cp_40_100_4_50_3.txt,AUpdata_ta_cp_40_100_4_50_3,40,4,50,bvns,42,43032.9778475573,0.1106359
instances\P\n=40\AUpdata_ta_cp_40_100_4_50_4.txt,AUpdata_ta_cp_40_100_4_50_4,40,4,50,bvns,42,43172.4162543872,0.1571032
instances\P\n=40\AUpdata_ta_cp_40_100_4_50_5.txt,AUpdata_ta_cp_40_100_4_50_5,40,4,50,bvns,42,53926.2750997598,0.1321192
instances\P\n=40\AUpdata_ta_cp_40_100_5_100_1.txt,AUpdata_ta_cp_40_100_5_100_1,40,5,100,bvns,42,36535.6699471435,0.1437179
instances\P\n=40\AUpdata_ta_cp_40_100_5_100_2.txt,AUpdata_ta_cp_40_100_5_100_2,40,5,100,bvns,42,29752.438729522,0.1609391
instances\P\n=40\AUpdata_ta_cp_40_100_5_100_3.txt,AUpdata_ta_cp_40_100_5_100_3,40,5,100,bvns,42,36155.188434905,0.1634037
instances\P\n=40\AUpdata_ta_cp_40_100_5_100_4.txt,AUpdata_ta_cp_40_100_5_100_4,40,5,100,bvns,42,21096.6357900984,0.1623058
instances\P\n=40\AUpdata_ta_cp_40_100_5_100_5.txt,AUpdata_ta_cp_40_100_5_100_5,40,5,100,bvns,42,22681.5227135232,0.1613124
instances\P\n=40\AUpdata_ta_cp_40_100_5_50_1.txt,AUpdata_ta_cp_40_100_5_50_1,40,5,50,bvns,42,39584.8309932487,0.1587082
instances\P\n=40\AUpdata_ta_cp_40_100_5_50_2.txt,AUpdata_ta_cp_40_100_5_50_2,40,5,50,bvns,42,38899.6633493473,0.1656518
instances\P\n=40\AUpdata_ta_cp_40_100_5_50_3.txt,AUpdata_ta_cp_40_100_5_50_3,40,5,50,bvns,42,48144.5086952277,0.1676038
instances\P\n=40\AUpdata_ta_cp_40_100_5_50_4.txt,AUpdata_ta_cp_40_100_5_50_4,40,5,50,bvns,42,39402.5995209382,0.15603
