instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\BigInstances500\AUpdata_randomSergio_500_62375_10_100_2.txt,AUpdata_randomSergio_500_62375_10_100_2,500,10,100,rvns,42,2790237.36317198,21.9414496
instances\BigInstances500\AUpdata_randomSergio_500_62375_10_100_3.txt,AUpdata_randomSergio_500_62375_10_100_3,500,10,100,rvns,42,2663048.10593301,31.1830465
instances\BigInstances500\AUpdata_randomSergio_500_62375_2_100_1.txt,AUpdata_randomSergio_500_62375_2_100_1,500,2,100,rvns,42,3882969.91608578,4.5023591
instances\BigInstances500\AUpdata_randomSergio_500_62375_2_100_2.txt,AUpdata_randomSergio_500_62375_2_100_2,500,2,100,rvns,42,4057715.74934027,4.5846232
instances\BigInstances500\AUpdata_randomSergio_500_62375_2_100_3.txt,AUpdata_randomSergio_500_62375_2_100_3,500,2,100,rvns,42,4071812.58327815,4.4712366
instances\BigInstances500\AUpdata_randomSergio_500_62375_3_100_1.txt,AUpdata_randomSergio_500_62375_3_100_1,500,3,100,rvns,42,3520757.19128085,6.4630734
instances\BigInstances500\AUpdata_randomSergio_500_62375_3_100_2.txt,AUpdata_randomSergio_500_62375_3_100_2,500,3,100,rvns,42,3677407.42608518,7.060621
instances\BigInstances500\AUpdata_randomSergio_500_62375_3_100_3.txt,AUpdata_randomSergio_500_62375_3_100_3,500,3,100,rvns,42,3741788.85027494,6.3725431
instances\BigInstances500\AUpdata_randomSergio_500_62375_4_100_1.txt,AUpdata_randomSergio_500_62375_4_100_1,500,4,100,rvns,42,3261476.2835277,7.2026725
instances\BigInstances500\AUpdata_randomSergio_500_62375_4_100_2.txt,AUpdata_randomSergio_500_62375_4_100_2,500,4,100,rvns,42,3490390.86620681,8.6896545
instances\BigInstances500\AUpdata_randomSergio_500_62375_4_100_3.txt,AUpdata_randomSergio_500_62375_4_100_3,500,4,100,rvns,42,3482468.36242705,13.3824551
instances\BigInstances500\AUpdata_randomSergio_500_62375_5_100_1.txt,AUpdata_randomSergio_500_62375_5_100_1,500,5,100,rvns,42,3082215.54466257,10.7627966
instances\BigInstances500\AUpdata_randomSergio_500_62375_5_100_2.txt,AUpdata_randomSergio_500_62375_5_100_2,500,5,100,rvns,42,3301065.08277647,13.4026305
instances\BigInstances500\AUpdata_randomSergio_500_62375_5_100_3.txt,AUpdata_randomSergio_500_62375_5_100_3,500,5,100,rvns,42,3251360.82249042,9.9556002
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_10_100_1.txt,AUpdata_corrSergio_500_124750_10_100_1,500,10,100,rvns,42,75451.112494635,17.7504719
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_10_100_2.txt,AUpdata_corrSergio_500_124750_10_100_2,500,10,100,rvns,42,78412.10640961,29.2903877
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_10_100_3.txt,AUpdata_corrSergio_500_124750_10_100_3,500,10,100,rvns,42,76358.722956635,20.4866583
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_2_100_1.txt,AUpdata_corrSergio_500_124750_2_100_1,500,2,100,rvns,42,106220.73444446,4.528495
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_2_100_2.txt,AUpdata_corrSergio_500_124750_2_100_2,500,2,100,rvns,42,113346.251578745,4.6632169
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_2_100_3.txt,AUpdata_corrSergio_500_124750_2_100_3,500,2,100,rvns,42,110333.1089701,4.6386761
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_3_100_1.txt,AUpdata_corrSergio_500_124750_3_100_1,500,3,100,rvns,42,98773.698424065,7.1664772
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_3_100_2.txt,AUpdata_corrSergio_500_124750_3_100_2,500,3,100,rvns,42,105368.56796457,6.4402427
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_3_100_3.txt,AUpdata_corrSergio_500_124750_3_100_3,500,3,100,rvns,42,101153.48176414,6.8281086
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_4_100_1.txt,AUpdata_corrSergio_500_124750_4_100_1,500,4,100,rvns,42,93477.215007875,8.10901
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_4_100_2.txt,AUpdata_corrSergio_500_124750_4_100_2,500,4,100,rvns,42,98853.672268235,7.944691
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_4_100_3.txt,AUpdata_corrSergio_500_124750_4_100_3,500,4,100,rvns,42,95056.352761245,7.9314249
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_5_100_1.txt,AUpdata_corrSergio_500_124750_5_100_1,500,5,100,rvns,42,88735.888862585,9.37405
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_5_100_2.txt,AUpdata_corrSergio_500_124750_5_100_2,500,5,100,rvns,42,94091.651787225,8.597147
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_124750_5_100_3.txt,AUpdata_corrSergio_500_124750_5_100_3,500,5,100,rvns,42,91005.24280491,10.4733502
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_10_100_1.txt,AUpdata_corrSergio_500_187125_10_100_1,500,10,100,rvns,42,71334.74346819,19.6874785
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_10_100_2.txt,AUpdata_corrSergio_500_187125_10_100_2,500,10,100,rvns,42,69729.3830084,17.8148517
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_10_100_3.txt,AUpdata_corrSergio_500_187125_10_100_3,500,10,100,rvns,42,69651.067212155,16.3132221
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_2_100_1.txt,AUpdata_corrSergio_500_187125_2_100_1,500,2,100,rvns,42,100950.344688655,4.3983089
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_2_100_2.txt,AUpdata_corrSergio_500_187125_2_100_2,500,2,100,rvns,42,99999.10929414,4.4970878
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_2_100_3.txt,AUpdata_corrSergio_500_187125_2_100_3,500,2,100,rvns,42,98874.1418654,4.4071984
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_3_100_1.txt,AUpdata_corrSergio_500_187125_3_100_1,500,3,100,rvns,42,93612.30417184,7.0042756
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_3_100_2.txt,AUpdata_corrSergio_500_187125_3_100_2,500,3,100,rvns,42,92119.9504484501,5.8179032
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_3_100_3.txt,AUpdata_corrSergio_500_187125_3_100_3,500,3,100,rvns,42,90799.6700219449,5.5832466
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_4_100_1.txt,AUpdata_corrSergio_500_187125_4_100_1,500,4,100,rvns,42,89106.671781855,7.9209164
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_4_100_2.txt,AUpdata_corrSergio_500_187125_4_100_2,500,4,100,rvns,42,87608.1624212151,8.3743325
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_4_100_3.txt,AUpdata_corrSergio_500_187125_4_100_3,500,4,100,rvns,42,85522.021049355,7.8328586
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_5_100_1.txt,AUpdata_corrSergio_500_187125_5_100_1,500,5,100,rvns,42,84616.16332019,10.5436095
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_5_100_2.txt,AUpdata_corrSergio_500_187125_5_100_2,500,5,100,rvns,42,82813.0675663451,8.4041917
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_187125_5_100_3.txt,AUpdata_corrSergio_500_187125_5_100_3,500,5,100,rvns,42,81432.90755221,8.4263112
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_10_100_1.txt,AUpdata_corrSergio_500_62375_10_100_1,500,10,100,rvns,42,98922.616146715,16.5219608
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_10_100_2.txt,AUpdata_corrSergio_500_62375_10_100_2,500,10,100,rvns,42,100833.47914264,16.0720377
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_10_100_3.txt,AUpdata_corrSergio_500_62375_10_100_3,500,10,100,rvns,42,102444.485652105,18.3810995
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_2_100_1.txt,AUpdata_corrSergio_500_62375_2_100_1,500,2,100,rvns,42,139217.916145955,4.6512507
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_2_100_2.txt,AUpdata_corrSergio_500_62375_2_100_2,500,2,100,rvns,42,141258.13336015,4.3877272
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_2_100_3.txt,AUpdata_corrSergio_500_62375_2_100_3,500,2,100,rvns,42,143128.9377668,4.4024399
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_3_100_1.txt,AUpdata_corrSergio_500_62375_3_100_1,500,3,100,rvns,42,129509.38267576,5.8771142
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_3_100_2.txt,AUpdata_corrSergio_500_62375_3_100_2,500,3,100,rvns,42,131523.708910075,5.6632964
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_3_100_3.txt,AUpdata_corrSergio_500_62375_3_100_3,500,3,100,rvns,42,132936.864587615,5.6692219
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_4_100_1.txt,AUpdata_corrSergio_500_62375_4_100_1,500,4,100,rvns,42,122855.69090042,7.0556329
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_4_100_2.txt,AUpdata_corrSergio_500_62375_4_100_2,500,4,100,rvns,42,124230.26751744,6.9477428
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_4_100_3.txt,AUpdata_corrSergio_500_62375_4_100_3,500,4,100,rvns,42,125262.466951035,7.3471742
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_5_100_1.txt,AUpdata_corrSergio_500_62375_5_100_1,500,5,100,rvns,42,117530.489439325,8.5498168
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_5_100_2.txt,AUpdata_corrSergio_500_62375_5_100_2,500,5,100,rvns,42,119329.145869935,9.7415783
instances\BigInstances500\BigInstancesCorrelated\AUpdata_corrSergio_500_62375_5_100_3.txt,AUpdata_corrSergio_500_62375_5_100_3,500,5,100,rvns,42,118742.233483145,8.2772707
instances\P\n=20\AUpdata_ta_cp_20_100_2_100_1.txt,AUpdata_ta_cp_20_100_2_100_1,20,2,100,rvns,42,9613.739311097,0.0048076
instances\P\n=20\AUpdata_ta_cp_20_100_2_100_2.txt,AUpdata_ta_cp_20_100_2_100_2,20,2,100,rvns,42,16778.1304445751,0.0050979
instances\P\n=20\AUpdata_ta_cp_20_100_2_100_3.txt,AUpdata_ta_cp_20_100_2_100_3,20,2,100,rvns,42,9051.6019418942,0.0056539
instances\P\n=20\AUpdata_ta_cp_20_100_2_100_4.txt,AUpdata_ta_cp_20_100_2_100_4,20,2,100,rvns,42,5162.13087163848,0.005645
instances\P\n=20\AUpdata_ta_cp_20_100_2_100_5.txt,AUpdata_ta_cp_20_100_2_100_5,20,2,100,rvns,42,9383.87220931462,0.0047462
