instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\R\n=40\AUpdata_ta_ca_40_300_3_50_3.txt,AUpdata_ta_ca_40_300_3_50_3,40,3,50,rvns,42,53130.7228827105,0.0017778
instances\R\n=40\AUpdata_ta_ca_40_300_3_50_4.txt,AUpdata_ta_ca_40_300_3_50_4,40,3,50,rvns,42,51801.8573419986,0.0020718
instances\R\n=40\AUpdata_ta_ca_40_300_3_50_5.txt,AUpdata_ta_ca_40_300_3_50_5,40,3,50,rvns,42,77435.792251841,0.001879
instances\R\n=40\AUpdata_ta_ca_40_300_4_100_1.txt,AUpdata_ta_ca_40_300_4_100_1,40,4,100,rvns,42,44150.6738749392,0.0023389
instances\R\n=40\AUpdata_ta_ca_40_300_4_100_2.txt,AUpdata_ta_ca_40_300_4_100_2,40,4,100,rvns,42,33056.9492722085,0.002182
instances\R\n=40\AUpdata_ta_ca_40_300_4_100_3.txt,AUpdata_ta_ca_40_300_4_100_3,40,4,100,rvns,42,49712.451275012,0.0022745
instances\R\n=40\AUpdata_ta_ca_40_300_4_100_4.txt,AUpdata_ta_ca_40_300_4_100_4,40,4,100,rvns,42,50335.7542618529,0.0025073
instances\R\n=40\AUpdata_ta_ca_40_300_4_100_5.txt,AUpdata_ta_ca_40_300_4_100_5,40,4,100,rvns,42,43345.1427320955,0.00213
instances\R\n=40\AUpdata_ta_ca_40_300_4_50_1.txt,AUpdata_ta_ca_40_300_4_50_1,40,4,50,rvns,42,46272.490930562,0.0020871
instances\R\n=40\AUpdata_ta_ca_40_300_4_50_2.txt,AUpdata_ta_ca_40_300_4_50_2,40,4,50,rvns,42,47849.7473088185,0.0022621
instances\R\n=40\AUpdata_ta_ca_40_300_4_50_3.txt,AUpdata_ta_ca_40_300_4_50_3,40,4,50,rvns,42,61766.6465710043,0.0020885
instances\R\n=40\AUpdata_ta_ca_40_300_4_50_4.txt,AUpdata_ta_ca_40_300_4_50_4,40,4,50,rvns,42,38284.8493304568,0.0021298
instances\R\n=40\AUpdata_ta_ca_40_300_4_50_5.txt,AUpdata_ta_ca_40_300_4_50_5,40,4,50,rvns,42,36351.4615132508,0.0024033
instances\R\n=40\AUpdata_ta_ca_40_300_5_100_1.txt,AUpdata_ta_ca_40_300_5_100_1,40,5,100,rvns,42,39942.0014670628,0.0026111
instances\R\n=40\AUpdata_ta_ca_40_300_5_100_2.txt,AUpdata_ta_ca_40_300_5_100_2,40,5,100,rvns,42,26685.1306825569,0.0031353
instances\R\n=40\AUpdata_ta_ca_40_300_5_100_3.txt,AUpdata_ta_ca_40_300_5_100_3,40,5,100,rvns,42,33060.2139306074,0.0026277
instances\R\n=40\AUpdata_ta_ca_40_300_5_100_4.txt,AUpdata_ta_ca_40_300_5_100_4,40,5,100,rvns,42,32568.7958082641,0.0027094
instances\R\n=40\AUpdata_ta_ca_40_300_5_100_5.txt,AUpdata_ta_ca_40_300_5_100_5,40,5,100,rvns,42,32264.2716049227,0.0024431
instances\R\n=40\AUpdata_ta_ca_40_300_5_50_1.txt,AUpdata_ta_ca_40_300_5_50_1,40,5,50,rvns,42,37401.9819554705,0.002571
